This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Developed_ex_US.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199011  ,-6.59  ,-7.37  ,-7.54  ,-8.27  ,-8.01  ,-5.90
199012  ,-1.81  ,-1.13  ,-1.93   ,4.69   ,0.66  ,-2.47
199101  ,-2.31  ,-2.88  ,-2.40   ,2.65   ,3.04   ,1.18
199102  ,21.19  ,12.74  ,10.42  ,16.43   ,9.60   ,6.58
199103  ,-1.78  ,-2.03  ,-1.36  ,-5.09  ,-4.96  ,-3.79
199104   ,1.45   ,1.72   ,1.95   ,1.08   ,1.14   ,1.83
199105  ,-2.43  ,-1.31  ,-0.48  ,-0.42  ,-0.05  ,-0.17
199106  ,-5.34  ,-3.94  ,-3.22  ,-6.89  ,-7.18  ,-5.37
199107   ,0.43   ,0.84   ,2.06   ,1.64   ,3.21   ,5.43
199108  ,-4.64  ,-3.23   ,1.30  ,-4.22  ,-3.87  ,-1.32
199109   ,5.30   ,6.70   ,7.25   ,6.57   ,6.33   ,5.50
199110   ,0.19   ,1.39   ,1.64   ,1.04   ,0.98   ,3.73
199111  ,-4.55  ,-3.59  ,-2.76  ,-6.42  ,-5.52  ,-4.60
199112   ,1.50   ,2.70   ,2.85   ,3.53   ,5.23   ,4.04
199201  ,-2.72  ,-2.13  ,-0.30  ,-1.87  ,-2.64  ,-3.19
199202  ,-1.25  ,-1.70  ,-0.42  ,-5.04  ,-3.95  ,-1.81
199203  ,-6.59  ,-5.08  ,-4.79  ,-7.69  ,-7.27  ,-6.11
199204  ,-2.46  ,-1.67   ,0.63  ,-0.93  ,-1.67   ,0.63
199205   ,7.55   ,7.90   ,6.99   ,6.86   ,7.06   ,6.37
199206  ,-5.42  ,-2.50  ,-0.62  ,-8.40  ,-3.76  ,-2.51
199207  ,-6.92  ,-4.25  ,-4.71  ,-2.35  ,-2.73  ,-3.57
199208   ,3.07   ,2.04   ,1.30  ,12.59   ,4.67   ,4.85
199209  ,-4.39  ,-1.76  ,-2.59  ,-4.60  ,-2.44  ,-1.69
199210  ,-6.95  ,-6.64  ,-5.83  ,-5.63  ,-5.92  ,-4.57
199211  ,-2.30  ,-1.86  ,-1.51   ,1.90   ,0.82   ,0.00
199212   ,2.39   ,1.89   ,1.12  ,-0.01   ,0.11   ,0.79
199301   ,1.16   ,1.51   ,3.15   ,0.42  ,-0.16  ,-0.10
199302   ,4.27   ,3.13   ,4.04   ,3.49   ,4.16   ,2.36
199303  ,12.46   ,8.62   ,8.95  ,10.69  ,10.82   ,9.33
199304  ,11.66   ,9.67   ,9.39   ,9.65   ,9.33   ,9.59
199305   ,8.57   ,7.90   ,7.51   ,1.88   ,2.17   ,4.46
199306  ,-5.11  ,-4.02  ,-2.24  ,-4.09  ,-3.58  ,-2.42
199307   ,1.30   ,0.41   ,1.75   ,4.08   ,3.78   ,5.66
199308   ,6.81   ,5.92   ,5.35   ,4.80   ,5.42   ,4.40
199309  ,-0.90  ,-1.20  ,-1.99  ,-2.91  ,-2.45  ,-3.95
199310  ,-0.61  ,-1.31   ,0.36   ,0.36   ,1.85   ,1.30
199311  ,-4.70  ,-7.05  ,-8.36  ,-6.63  ,-9.06 ,-11.49
199312   ,5.04   ,5.36   ,6.76   ,5.88   ,6.09   ,6.05
199401  ,12.74  ,12.32  ,13.10   ,9.05   ,8.89  ,13.01
199402   ,1.14   ,1.65   ,2.25  ,-0.89  ,-0.83   ,0.59
199403  ,-0.22  ,-0.07  ,-1.94  ,-1.88  ,-3.46  ,-3.30
199404   ,3.96   ,4.59   ,3.61   ,3.61   ,4.36   ,2.08
199405  ,-0.51  ,-0.56  ,-0.85  ,-0.95  ,-0.27  ,-0.23
199406   ,2.99   ,2.09   ,1.15   ,1.02   ,1.66   ,3.52
199407  ,-0.10   ,0.72   ,1.23   ,1.79   ,0.91  ,-1.55
199408   ,0.47   ,0.51   ,0.29   ,1.14   ,1.89   ,1.47
199409  ,-1.92  ,-2.19  ,-0.95  ,-3.35  ,-2.78  ,-2.53
199410   ,0.86   ,1.47   ,1.81   ,2.28   ,3.15   ,3.68
199411  ,-6.64  ,-6.20  ,-5.89  ,-4.41  ,-5.77  ,-6.24
199412  ,-0.02   ,1.51   ,1.30   ,1.02   ,1.29   ,1.02
199501  ,-2.38  ,-2.18  ,-3.48  ,-4.00  ,-3.79  ,-6.03
199502  ,-0.93  ,-0.73   ,0.33  ,-1.30  ,-0.76  ,-0.83
199503   ,2.11   ,3.68   ,4.36   ,8.05   ,6.37   ,4.40
199504   ,1.42   ,1.68   ,2.09   ,3.36   ,3.07   ,4.47
199505  ,-1.26  ,-1.13  ,-0.68  ,-2.30  ,-1.46  ,-1.14
199506  ,-1.32  ,-1.23   ,0.77  ,-2.02  ,-1.93  ,-0.16
199507   ,4.40   ,4.41   ,3.87   ,6.29   ,5.47   ,4.82
199508  ,-0.24  ,-1.49  ,-1.33  ,-2.43  ,-3.78  ,-2.53
199509  ,-1.66   ,0.38   ,2.49  ,-0.98   ,0.68   ,2.16
199510  ,-3.21  ,-1.51  ,-0.63  ,-3.75  ,-1.82  ,-1.18
199511   ,0.28   ,0.95   ,1.27   ,1.40   ,2.35   ,2.48
199512   ,4.88   ,3.02   ,2.60   ,4.95   ,4.02   ,2.28
199601   ,2.84   ,1.56   ,2.73   ,1.54   ,0.68  ,-0.34
199602   ,1.37   ,1.67   ,2.69   ,0.46   ,0.20   ,0.44
199603   ,0.83   ,2.15   ,2.42   ,1.42   ,1.59   ,2.72
199604   ,4.61   ,5.35   ,6.09   ,4.51   ,3.18   ,3.18
199605   ,0.29   ,0.63   ,2.44  ,-1.92  ,-0.78  ,-1.05
199606  ,-0.93   ,0.29  ,-1.52  ,-0.58   ,0.47   ,0.87
199607  ,-1.94  ,-2.91  ,-5.69  ,-2.60  ,-2.98  ,-3.88
199608  ,-0.10   ,0.16   ,2.17  ,-1.16   ,0.20   ,0.87
199609  ,-1.47   ,0.04   ,0.61   ,2.38   ,2.18   ,3.25
199610  ,-0.60  ,-0.07   ,0.71  ,-3.23  ,-0.65  ,-0.10
199611   ,0.72   ,1.30   ,1.47   ,2.66   ,3.27   ,4.77
199612  ,-2.88  ,-2.61  ,-2.76  ,-2.87  ,-1.06   ,0.04
199701  ,-2.80  ,-3.22  ,-1.05  ,-5.22  ,-3.90  ,-2.03
199702   ,0.64   ,1.61   ,2.04   ,1.47   ,1.67   ,0.68
199703  ,-3.45  ,-2.50  ,-1.91  ,-1.29   ,0.51  ,-0.39
199704  ,-2.99  ,-1.57  ,-1.04  ,-1.58  ,-0.23   ,3.63
199705   ,9.73   ,7.64   ,6.94   ,7.50   ,6.89   ,8.84
199706   ,0.55   ,2.51   ,1.03   ,5.75   ,4.42   ,4.62
199707  ,-6.19  ,-2.84   ,1.31  ,-3.18   ,0.50   ,5.28
199708  ,-4.15  ,-3.17   ,0.46  ,-4.87  ,-6.68  ,-7.87
199709  ,-3.47   ,0.29   ,3.99   ,0.82   ,4.58   ,8.64
199710  ,-2.35  ,-3.66  ,-8.52  ,-8.16  ,-6.86  ,-7.35
199711 ,-10.70  ,-4.99  ,-4.80  ,-4.61  ,-0.29  ,-1.21
199712  ,-8.22  ,-3.52  ,-1.20  ,-3.72   ,0.95   ,1.96
199801  ,11.03   ,1.70   ,0.45   ,4.00   ,3.36   ,4.67
199802   ,8.09   ,6.01   ,8.35   ,8.70   ,7.38   ,4.43
199803  ,-1.30   ,2.71   ,6.87   ,1.85   ,4.63   ,3.14
199804  ,-0.77   ,1.32   ,2.60   ,2.09   ,0.71   ,1.17
199805  ,-2.06  ,-0.37   ,0.50  ,-0.72   ,0.12   ,0.45
199806  ,-3.65  ,-3.16  ,-4.12  ,-2.68   ,0.19   ,1.36
199807  ,-3.36  ,-2.18   ,0.30  ,-2.57   ,0.61   ,3.45
199808 ,-12.21  ,-9.32 ,-11.15 ,-12.24 ,-11.11 ,-12.43
199809  ,-2.00  ,-1.58  ,-2.70   ,0.80  ,-2.47  ,-5.85
199810   ,8.40   ,6.05   ,6.41  ,12.25   ,9.75   ,8.36
199811   ,4.47   ,2.86   ,4.18   ,5.48   ,4.29   ,3.64
199812  ,-0.71   ,1.69   ,3.25  ,-0.46   ,2.29   ,7.03
199901  ,-0.92  ,-1.35   ,4.26   ,0.02  ,-1.74   ,4.08
199902  ,-0.98  ,-1.37   ,1.32   ,0.13  ,-2.62  ,-3.35
199903   ,7.50   ,3.63   ,4.55   ,9.96   ,4.18   ,0.21
199904  ,11.15   ,5.85   ,6.72   ,9.04   ,5.11   ,1.02
199905  ,-1.03  ,-1.17   ,0.24  ,-4.83  ,-4.91  ,-3.35
199906   ,4.81   ,5.92  ,12.42   ,4.09   ,4.28   ,5.30
199907   ,3.26   ,3.69   ,6.15   ,3.22   ,2.91   ,4.06
199908   ,1.07   ,1.65   ,8.59   ,1.02   ,0.82   ,2.42
199909   ,0.29   ,1.35   ,3.65   ,0.53   ,0.91   ,3.65
199910  ,-2.65  ,-1.91   ,2.86   ,0.26   ,2.97   ,7.32
199911  ,-2.82  ,-1.94   ,6.06  ,-2.60   ,2.05  ,14.79
199912   ,0.62   ,2.55   ,4.68   ,3.08   ,6.03  ,14.94
200001  ,-1.88  ,-0.22   ,1.44  ,-9.23  ,-5.87  ,-6.07
200002   ,0.27  ,-0.58   ,9.77  ,-1.97   ,0.26   ,8.77
200003   ,6.49   ,4.30  ,-4.53   ,7.63   ,6.93  ,-4.07
200004  ,-5.25  ,-5.78 ,-15.47  ,-1.39  ,-4.14 ,-10.05
200005   ,2.49   ,2.57  ,-3.57   ,4.28   ,0.68  ,-8.87
