This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
199901   ,-0.43   ,-0.16   ,-2.07    ,0.35
199902   ,-2.19    ,2.70   ,-1.10    ,0.35
199903   ,-0.03   ,-0.27    ,1.38    ,0.43
199904    ,2.95    ,0.82    ,1.87    ,0.37
199905   ,-3.80    ,4.48    ,0.11    ,0.34
199906    ,1.71   ,-0.04    ,0.52    ,0.40
199907    ,1.10    ,3.40    ,0.29    ,0.38
199908    ,1.33    ,3.94   ,-1.10    ,0.39
199909   ,-0.33    ,2.19   ,-1.80    ,0.39
199910    ,1.74   ,-1.14   ,-3.83    ,0.39
199911    ,2.74    ,1.23   ,-9.21    ,0.36
199912    ,9.25   ,-4.75   ,-4.37    ,0.44
200001   ,-7.10    ,9.35   ,-6.08    ,0.41
200002    ,5.94    ,1.66   ,-9.45    ,0.43
200003    ,0.66   ,-5.29    ,3.33    ,0.47
200004   ,-5.58   ,-5.50    ,5.93    ,0.46
200005   ,-0.09   ,-0.14    ,6.17    ,0.50
200006    ,0.67    ,0.02    ,3.14    ,0.40
200007   ,-1.58   ,-1.05    ,3.31    ,0.48
200008   ,-1.61    ,0.94   ,-0.50    ,0.50
200009   ,-4.99    ,2.02    ,2.64    ,0.51
200010   ,-2.71   ,-6.89    ,7.54    ,0.56
200011   ,-4.55   ,-1.41   ,11.15    ,0.51
200012    ,5.69    ,0.41    ,3.35    ,0.50
200101    ,0.36    ,1.83    ,0.59    ,0.54
200102   ,-8.74    ,4.85    ,9.24    ,0.38
200103   ,-9.34   ,-1.06    ,5.89    ,0.42
200104    ,7.39   ,-3.74   ,-3.26    ,0.39
200105   ,-5.05    ,2.69    ,4.18    ,0.32
200106   ,-3.64   ,-1.01    ,6.24    ,0.28
200107   ,-0.67   ,-2.26    ,3.90    ,0.30
200108   ,-2.06    ,2.11    ,4.04    ,0.31
200109  ,-11.54   ,-5.27    ,2.33    ,0.28
200110    ,3.24    ,1.78   ,-3.24    ,0.22
200111    ,4.05    ,1.88   ,-1.16    ,0.17
200112    ,1.82   ,-1.83    ,1.40    ,0.15
200201   ,-4.74    ,3.05    ,1.68    ,0.14
200202    ,0.40   ,-0.30    ,1.57    ,0.13
200203    ,5.10   ,-0.45    ,0.82    ,0.13
200204   ,-0.30    ,2.89    ,4.83    ,0.15
200205    ,0.38    ,1.82    ,4.61    ,0.14
200206   ,-2.46    ,1.10    ,2.44    ,0.13
200207  ,-10.54    ,1.74    ,3.13    ,0.15
200208    ,0.13   ,-2.26    ,2.11    ,0.14
200209  ,-13.20    ,3.07   ,-1.89    ,0.14
200210    ,8.60   ,-6.82   ,-0.92    ,0.14
200211    ,4.87   ,-0.80    ,2.19    ,0.12
200212   ,-2.78    ,3.62    ,3.29    ,0.11
200301   ,-3.43    ,2.05    ,2.54    ,0.10
200302   ,-3.38    ,0.35    ,1.68    ,0.09
200303   ,-1.50    ,0.78   ,-0.48    ,0.10
200304   ,13.16   ,-2.16    ,0.18    ,0.10
200305    ,7.66    ,2.69    ,1.19    ,0.09
200306    ,1.18    ,2.01    ,0.36    ,0.10
200307    ,1.67    ,0.94    ,3.91    ,0.07
200308    ,0.17    ,3.14    ,0.03    ,0.07
200309    ,2.82    ,2.71    ,0.07    ,0.08
200310    ,6.17   ,-1.20    ,3.67    ,0.07
200311    ,4.49    ,0.00    ,0.41    ,0.07
200312    ,7.34   ,-2.02    ,0.49    ,0.08
200401    ,2.46    ,3.68    ,2.38    ,0.07
200402    ,3.07    ,1.08    ,0.38    ,0.06
200403   ,-3.32    ,0.91   ,-0.23    ,0.09
200404   ,-1.17   ,-1.03    ,0.87    ,0.08
200405    ,1.41   ,-0.99   ,-0.83    ,0.06
200406    ,2.00    ,1.09    ,0.98    ,0.08
200407   ,-3.14    ,0.10    ,0.44    ,0.10
200408    ,0.34   ,-0.44    ,1.32    ,0.11
200409    ,4.00    ,0.19    ,0.79    ,0.11
200410    ,4.11   ,-0.02    ,0.69    ,0.11
200411    ,6.85    ,2.09    ,1.73    ,0.15
200412    ,4.27    ,0.41    ,0.65    ,0.16
200501   ,-1.25    ,3.54    ,1.60    ,0.16
200502    ,4.58    ,0.75    ,1.07    ,0.16
200503   ,-2.57   ,-0.20    ,0.26    ,0.21
200504   ,-2.58    ,0.53   ,-0.10    ,0.21
200505   ,-0.06   ,-1.62    ,1.16    ,0.24
200506    ,1.54    ,0.89    ,1.71    ,0.23
200507    ,3.82    ,0.34    ,1.34    ,0.24
200508    ,2.02    ,2.14   ,-0.11    ,0.30
200509    ,1.48   ,-0.34    ,0.13    ,0.29
200510   ,-3.41   ,-1.20    ,0.41    ,0.27
200511    ,1.29   ,-0.28    ,0.57    ,0.31
200512    ,3.80    ,0.62    ,0.45    ,0.32
200601    ,6.39    ,2.24    ,1.75    ,0.35
200602    ,0.55    ,2.10    ,1.45    ,0.34
200603    ,3.99    ,0.74    ,1.72    ,0.37
200604    ,5.25    ,1.83   ,-0.32    ,0.36
200605   ,-3.65   ,-0.95   ,-0.54    ,0.43
200606   ,-0.21   ,-1.62   ,-0.51    ,0.40
200607    ,1.00   ,-1.81    ,1.60    ,0.40
200608    ,2.70   ,-0.27    ,0.38    ,0.42
200609    ,0.69    ,0.08    ,0.34    ,0.41
200610    ,3.82    ,0.10    ,1.49    ,0.41
200611    ,3.76    ,2.57    ,0.34    ,0.42
200612    ,3.32    ,0.97    ,0.54    ,0.40
200701    ,0.61    ,1.89    ,0.77    ,0.44
200702   ,-0.51    ,1.24   ,-0.10    ,0.38
200703    ,3.71    ,0.68    ,0.04    ,0.43
200704    ,5.54   ,-0.27    ,1.26    ,0.44
200705    ,1.56   ,-0.72    ,0.55    ,0.41
200706   ,-0.17   ,-0.65    ,0.40    ,0.40
200707   ,-2.22    ,1.81   ,-0.36    ,0.40
200708   ,-2.08   ,-3.17   ,-0.06    ,0.42
200709    ,4.82   ,-3.71   ,-0.85    ,0.32
200710    ,4.36    ,0.40   ,-0.96    ,0.32
200711   ,-4.02   ,-4.76   ,-1.76    ,0.34
200712   ,-2.11   ,-0.85    ,1.23    ,0.27
200801  ,-10.00    ,0.38   ,-0.02    ,0.21
200802    ,1.96    ,2.71   ,-0.53    ,0.13
200803    ,0.26   ,-0.58    ,2.38    ,0.17
200804    ,4.42   ,-2.57   ,-0.01    ,0.18
200805    ,0.85    ,0.50   ,-1.17    ,0.18
200806   ,-8.69    ,1.68   ,-0.69    ,0.17
200807   ,-3.83   ,-2.16    ,0.96    ,0.15
200808   ,-4.57    ,0.11   ,-0.09    ,0.13
200809  ,-15.07   ,-3.11    ,0.93    ,0.15
200810  ,-22.03   ,-4.90   ,-3.53    ,0.08
200811   ,-7.17   ,-0.99   ,-3.65    ,0.03
200812    ,6.69   ,-1.44    ,1.18    ,0.00
200901  ,-10.98    ,4.90   ,-4.03    ,0.00
200902   ,-9.95    ,4.57   ,-4.29    ,0.01
200903    ,6.94   ,-2.52    ,1.41    ,0.02
200904   ,13.67    ,1.78    ,6.75    ,0.01
200905   ,12.86    ,1.31   ,-1.36    ,0.00
200906   ,-1.87    ,1.57   ,-1.21    ,0.01
200907   ,10.18   ,-3.92    ,3.78    ,0.01
200908    ,5.65    ,1.85    ,7.52    ,0.01
200909    ,5.43    ,1.68    ,1.14    ,0.01
200910   ,-1.85    ,1.64   ,-3.28    ,0.00
200911    ,3.00   ,-2.05   ,-1.24    ,0.00
200912    ,0.94   ,-1.82   ,-1.23    ,0.01
201001   ,-5.28    ,4.70   ,-1.86    ,0.00
201002   ,-2.10   ,-0.71   ,-1.79    ,0.00
201003    ,6.41   ,-1.13    ,4.27    ,0.01
201004   ,-1.66    ,3.19   ,-0.29    ,0.01
201005  ,-12.06   ,-0.21   ,-3.60    ,0.01
201006   ,-0.97    ,0.11   ,-2.22    ,0.01
201007   ,11.88   ,-2.05    ,4.62    ,0.01
201008   ,-4.26   ,-0.10   ,-2.70    ,0.01
201009   ,11.56    ,0.99   ,-0.28    ,0.01
