This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



,WML
199001    ,5.44
199002    ,1.94
199003   ,-1.44
199004   ,-5.23
199005    ,4.88
199006   ,-0.10
199007    ,3.14
199008   ,-4.85
199009   ,-3.36
199010   ,-3.24
199011    ,1.96
199012   ,-1.93
199101   ,-0.40
199102   ,-8.99
199103    ,3.36
199104    ,4.58
199105    ,3.62
199106    ,1.25
199107    ,0.40
199108    ,0.02
199109   ,-0.01
199110    ,1.13
199111   ,-0.73
199112    ,1.02
199201    ,3.32
199202    ,2.52
199203    ,0.76
199204   ,-0.09
199205    ,4.05
199206    ,4.50
199207    ,5.39
199208    ,5.50
199209   ,-1.74
199210   ,-1.39
199211   ,-3.42
199212    ,0.55
199301    ,0.95
199302    ,3.36
199303   ,-3.06
199304    ,2.80
199305    ,2.07
199306   ,-3.50
199307    ,0.52
199308    ,2.21
199309    ,5.76
199310    ,9.06
199311    ,4.63
199312    ,1.22
199401   ,-9.42
199402    ,2.99
199403   ,-2.96
199404    ,1.56
199405   ,-3.24
199406   ,-0.34
199407    ,0.92
199408    ,6.17
199409    ,2.02
199410    ,0.21
199411    ,1.67
199412   ,-0.20
199501    ,5.86
199502   ,-3.68
199503    ,3.66
199504    ,0.21
199505    ,2.09
199506    ,3.03
199507    ,0.59
199508    ,0.49
199509   ,-0.19
199510    ,5.22
199511    ,4.76
199512    ,1.31
199601   ,-2.42
199602    ,1.33
199603    ,1.46
199604   ,-2.14
199605   ,-1.09
199606    ,3.53
199607    ,2.34
199608    ,3.98
199609    ,2.27
199610    ,2.43
199611    ,0.13
199612    ,0.22
199701    ,1.60
199702   ,-0.59
199703    ,1.67
199704    ,2.20
199705    ,3.25
199706    ,3.83
199707    ,0.05
199708   ,-0.16
199709    ,1.21
199710    ,0.16
199711    ,7.80
199712    ,1.38
199801    ,2.11
199802   ,-1.22
199803   ,-1.85
199804   ,-1.04
199805    ,2.70
199806    ,1.22
199807    ,0.40
