This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Europe.

The portfolios are constructed daily.  ME is market cap at the end of the
previous day.  Prior return is from -250 to -20.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Daily
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
19901101  ,-0.01   ,0.00   ,0.32  ,-0.31  ,-0.57  ,-0.17
19901102  ,-0.15   ,0.04   ,0.02  ,-0.13   ,0.59   ,0.33
19901105   ,0.86   ,0.79   ,0.93   ,0.51   ,1.19   ,1.39
19901106  ,-0.32  ,-0.19   ,0.02  ,-0.39  ,-0.11   ,0.40
19901107  ,-0.46  ,-0.59  ,-0.65  ,-1.37  ,-0.89  ,-0.49
19901108  ,-1.69  ,-0.95  ,-0.81  ,-1.14  ,-0.91  ,-1.31
19901109  ,-0.19  ,-0.43  ,-0.58   ,0.43   ,0.34   ,0.21
19901112   ,0.19   ,0.05   ,0.36   ,1.37   ,1.07   ,0.40
19901113   ,0.27   ,0.05   ,0.16   ,0.34   ,0.30   ,0.30
19901114  ,-0.33  ,-0.07  ,-0.11  ,-0.39  ,-0.24  ,-0.77
19901115  ,-0.83  ,-0.62  ,-0.27  ,-0.23   ,0.22  ,-0.13
19901116  ,-1.30   ,0.54   ,3.57   ,0.51   ,0.56   ,1.33
19901119   ,0.10   ,0.16  ,-0.02   ,1.02   ,1.69   ,1.21
19901120  ,-0.38  ,-0.10  ,-0.08  ,-0.30   ,0.40   ,0.22
19901121  ,-0.60  ,-0.29  ,-0.14  ,-0.11   ,0.06   ,0.03
19901122   ,1.85   ,0.24  ,-1.04   ,0.89   ,0.17   ,0.22
19901123   ,0.08  ,-0.59  ,-0.44  ,-0.01   ,0.41   ,0.46
19901126  ,-1.16  ,-1.04  ,-0.98  ,-2.23  ,-1.52  ,-1.09
19901127   ,0.07   ,0.16   ,0.28   ,0.24   ,0.32   ,0.62
19901128  ,-0.82  ,-0.86  ,-0.63  ,-0.48  ,-0.92  ,-1.09
19901129  ,-1.20  ,-0.86  ,-0.98  ,-0.87  ,-1.28  ,-1.06
19901130  ,-0.11   ,0.16   ,0.05   ,0.51   ,0.78   ,0.16
19901203   ,0.47   ,0.05   ,0.07   ,1.22  ,-0.11  ,-0.40
19901204   ,0.85   ,0.97   ,0.73   ,0.42   ,0.20   ,0.13
19901205   ,0.74   ,0.62   ,0.25   ,1.22   ,0.60   ,0.02
19901206   ,1.98   ,1.38   ,1.44   ,3.32   ,2.16   ,1.61
19901207   ,1.50   ,1.65   ,1.24   ,1.33   ,1.07   ,0.72
19901210   ,0.06   ,0.37   ,0.34  ,-0.26  ,-0.23  ,-0.10
19901211  ,-1.03  ,-0.90  ,-0.69  ,-1.21  ,-1.18  ,-1.05
19901212  ,-0.33   ,0.02   ,0.14   ,0.50   ,0.27   ,0.03
19901213   ,0.11   ,0.13   ,0.32   ,0.55   ,0.50   ,0.33
19901214  ,-0.71  ,-0.47  ,-0.44  ,-0.70  ,-0.39  ,-0.36
19901217  ,-1.78  ,-1.14  ,-0.78  ,-2.37  ,-1.58  ,-1.28
19901218  ,-0.60  ,-0.09   ,0.19  ,-0.55   ,0.29   ,0.33
19901219   ,0.12  ,-0.30   ,0.23   ,0.27   ,0.00   ,0.27
19901220  ,-2.61  ,-2.30  ,-2.35  ,-3.88  ,-3.44  ,-2.85
19901221  ,-1.61  ,-1.54  ,-1.33  ,-1.28  ,-1.03  ,-0.60
19901224  ,-1.26  ,-0.94  ,-1.22  ,-1.20  ,-1.08  ,-1.08
19901225   ,0.04   ,0.13   ,0.07   ,0.22   ,0.13   ,0.05
19901226   ,0.62   ,0.72   ,0.71   ,0.48   ,0.52   ,0.46
19901227  ,-0.26   ,0.23  ,-0.01  ,-0.05  ,-0.01   ,0.36
19901228   ,2.17   ,2.40   ,2.26   ,1.73   ,1.60   ,1.51
19901231   ,0.20   ,0.04  ,-0.04  ,-0.09   ,0.01  ,-0.08
19910101   ,0.00  ,-0.01  ,-0.01   ,0.00   ,0.00   ,0.00
19910102  ,-0.04  ,-0.03   ,0.37  ,-0.86  ,-0.33   ,0.20
19910103  ,-0.26  ,-0.70  ,-0.52   ,0.36  ,-0.15  ,-0.37
19910104  ,-0.36  ,-0.68  ,-0.72   ,0.28   ,0.20  ,-0.21
19910107  ,-2.50  ,-2.26  ,-2.70  ,-3.34  ,-3.09  ,-2.49
19910108  ,-1.57  ,-0.87  ,-0.83  ,-1.12  ,-0.80  ,-1.00
19910109   ,1.09   ,0.76   ,0.85   ,2.49   ,2.26   ,1.33
19910110  ,-1.45  ,-1.36  ,-0.93  ,-1.71  ,-0.84  ,-0.51
19910111  ,-0.35  ,-0.36  ,-0.17  ,-0.06  ,-0.29  ,-0.33
19910114  ,-2.12  ,-2.36  ,-1.96  ,-3.44  ,-2.78  ,-1.86
19910115  ,-0.19  ,-0.52  ,-0.53   ,0.33  ,-0.35  ,-0.47
19910116  ,-0.16  ,-0.41  ,-0.27  ,-0.47  ,-0.31  ,-0.32
19910117   ,6.35   ,5.02   ,4.75   ,8.34   ,6.31   ,4.16
19910118   ,1.03   ,0.77   ,0.74   ,0.16   ,0.25   ,0.40
19910121   ,0.38   ,0.29   ,0.46  ,-0.25  ,-0.12   ,0.12
19910122  ,-1.15  ,-1.18  ,-0.94  ,-1.64  ,-0.98  ,-1.04
19910123  ,-0.52   ,0.07   ,0.08  ,-0.95  ,-0.23  ,-0.20
19910124   ,0.58   ,0.05  ,-0.15   ,1.38   ,1.11   ,0.59
19910125  ,-0.05  ,-0.16  ,-0.01   ,0.47   ,0.26   ,0.03
19910128   ,0.24   ,0.18   ,0.39   ,0.30   ,0.40   ,0.81
19910129   ,0.06  ,-0.31  ,-0.12  ,-0.43  ,-0.02  ,-0.16
19910130   ,0.20   ,0.23   ,0.25   ,1.23   ,1.23   ,1.32
19910131   ,1.28   ,1.30   ,1.44   ,1.38   ,1.54   ,0.96
19910201   ,0.85   ,0.59   ,0.72   ,0.64   ,0.66   ,0.46
19910204   ,1.30   ,1.01   ,0.79   ,1.07   ,0.76   ,0.41
19910205   ,1.50   ,1.36   ,1.07   ,1.33   ,1.28   ,1.57
19910206   ,1.43   ,1.15   ,1.01   ,0.44   ,0.40   ,0.46
19910207   ,1.34   ,0.57   ,0.33   ,0.70   ,1.09   ,1.47
19910208   ,0.26   ,0.19  ,-0.26   ,0.69   ,0.71  ,-0.06
19910211   ,1.76   ,1.19   ,1.05   ,2.13   ,2.13   ,1.69
19910212   ,0.10   ,0.07  ,-0.17  ,-0.69  ,-1.22  ,-0.90
19910213   ,0.02   ,0.16  ,-0.15   ,0.27   ,0.97   ,0.15
19910214   ,0.63   ,0.17   ,0.11   ,0.43   ,0.17   ,0.21
19910215   ,0.73   ,0.07  ,-0.04   ,1.28   ,0.61  ,-0.10
19910218   ,1.81   ,0.66   ,0.64   ,1.76   ,1.14   ,0.54
19910219   ,0.17   ,0.00  ,-0.14   ,0.33  ,-0.31  ,-0.43
19910220  ,-0.61  ,-0.32  ,-0.43  ,-0.64  ,-1.18  ,-0.91
19910221   ,1.32   ,1.02   ,0.53   ,0.97   ,0.96   ,0.93
19910222   ,0.67   ,0.00  ,-0.48   ,0.30  ,-0.05  ,-0.38
19910225   ,1.17   ,0.10  ,-0.24   ,0.92   ,0.30   ,0.35
19910226  ,-0.10   ,0.15  ,-0.26  ,-1.77  ,-1.32  ,-1.19
19910227  ,-0.20  ,-0.24   ,0.00   ,0.51   ,0.43   ,0.57
19910228   ,0.58   ,0.51   ,0.20   ,0.03   ,0.19   ,0.50
19910301  ,-1.30  ,-1.06  ,-0.77  ,-1.85  ,-1.59  ,-0.89
19910304   ,0.78   ,0.15   ,0.37   ,1.01   ,0.59  ,-0.11
19910305   ,0.86   ,0.56   ,0.24   ,1.31   ,0.90   ,1.16
19910306   ,1.73   ,1.07   ,0.53   ,2.40   ,1.81   ,1.74
19910307  ,-0.40  ,-0.09   ,0.12  ,-0.54  ,-0.79  ,-0.82
19910308  ,-0.25  ,-0.60  ,-0.45  ,-0.48  ,-0.35  ,-0.29
19910311  ,-0.10  ,-0.48  ,-1.07  ,-2.13  ,-1.55  ,-0.70
19910312   ,0.75   ,0.45   ,0.38   ,0.73   ,0.33   ,0.45
19910313  ,-0.55  ,-0.39  ,-0.29  ,-1.08  ,-1.11  ,-0.80
19910314   ,0.63   ,0.05   ,0.31   ,1.52   ,1.56   ,1.69
19910315  ,-0.12  ,-0.30  ,-0.42  ,-0.96  ,-1.41  ,-0.90
19910318  ,-2.01  ,-1.90  ,-2.29  ,-2.51  ,-2.42  ,-1.74
19910319  ,-1.90  ,-1.80  ,-1.83  ,-2.65  ,-2.13  ,-2.37
19910320  ,-0.70  ,-0.15  ,-0.09  ,-0.52  ,-0.47  ,-0.01
19910321   ,1.05   ,0.81   ,1.21   ,1.51   ,1.12   ,1.65
19910322  ,-0.41  ,-0.60  ,-0.41  ,-0.90  ,-0.53  ,-1.11
19910325  ,-2.03  ,-1.86  ,-1.87  ,-1.93  ,-1.87  ,-2.38
19910326  ,-1.26  ,-0.84  ,-0.71  ,-1.22  ,-0.83  ,-0.21
19910327  ,-0.79  ,-0.77  ,-0.72  ,-0.11  ,-0.02  ,-0.08
19910328   ,0.36   ,0.25   ,0.51   ,0.75   ,0.49  ,-0.04
19910329   ,0.57   ,0.59   ,0.57   ,0.55   ,0.57   ,0.54
19910401   ,0.82   ,0.88   ,0.82   ,0.87   ,0.79   ,0.77
19910402   ,0.76   ,0.57   ,0.60   ,1.07   ,0.99   ,0.79
19910403   ,1.19   ,0.51   ,1.23   ,1.78   ,1.63   ,0.77
19910404   ,0.60   ,0.66   ,0.34   ,0.34   ,0.15   ,0.99
19910405  ,-0.76  ,-0.68  ,-0.63  ,-0.18  ,-0.48  ,-0.03
19910408  ,-0.56  ,-0.58  ,-0.62  ,-0.79  ,-0.84  ,-0.79
19910409   ,1.02   ,1.17   ,1.11   ,0.85   ,1.34   ,1.31
19910410  ,-1.10  ,-0.98  ,-1.06  ,-1.63  ,-1.47  ,-1.07
19910411   ,0.47   ,0.39   ,0.43   ,0.39   ,0.81   ,1.01
19910412  ,-0.36  ,-0.43  ,-0.25  ,-0.35  ,-0.12  ,-0.65
19910415   ,0.22   ,0.53   ,0.45   ,0.83   ,0.91   ,1.57
19910416   ,0.07   ,0.03   ,0.21  ,-0.19   ,0.14  ,-0.65
19910417   ,0.09  ,-0.08   ,0.12   ,0.58   ,0.48   ,0.64
19910418  ,-0.66  ,-0.71  ,-0.97  ,-1.60  ,-1.16  ,-1.65
19910419  ,-2.92  ,-2.67  ,-2.44  ,-3.43  ,-2.85  ,-2.32
19910422  ,-2.21  ,-1.99  ,-1.89  ,-3.03  ,-2.55  ,-2.63
19910423   ,1.05   ,1.30   ,1.06   ,1.93   ,2.06   ,1.58
19910424  ,-0.70  ,-0.43  ,-0.58  ,-0.50  ,-0.55  ,-1.01
19910425   ,0.16   ,0.13   ,0.29   ,0.83   ,0.22  ,-0.42
19910426  ,-0.58  ,-0.58  ,-0.81  ,-0.51  ,-0.83  ,-0.71
19910429  ,-0.53  ,-0.81  ,-0.59  ,-0.67  ,-0.47   ,0.99
19910430   ,2.29   ,2.37   ,2.43   ,2.07   ,1.94   ,1.67
19910501   ,0.75   ,0.64   ,0.51   ,0.74   ,0.73   ,0.93
19910502  ,-0.42  ,-0.60  ,-0.37   ,0.53   ,0.27   ,0.48
19910503  ,-0.94  ,-1.27  ,-1.02  ,-0.97  ,-1.27  ,-1.66
19910506   ,0.54   ,0.53   ,0.37   ,0.50   ,0.17   ,0.68
19910507   ,1.19   ,0.93   ,1.03   ,0.89   ,1.20   ,1.44
19910508  ,-0.96  ,-0.84  ,-0.69  ,-1.05  ,-1.22  ,-0.91
19910509   ,0.07  ,-0.58  ,-0.15  ,-0.42  ,-0.35   ,0.30
19910510   ,1.13   ,0.61   ,0.61   ,1.61   ,1.12  ,-0.03
19910513   ,0.53   ,0.66   ,0.65   ,0.28   ,0.23  ,-0.33
19910514   ,0.53   ,0.52   ,0.57   ,0.12   ,0.23   ,0.62
19910515  ,-0.36   ,0.03   ,0.30  ,-0.12   ,0.28   ,0.04
19910516   ,0.06  ,-0.32  ,-0.28   ,0.33   ,0.14   ,0.21
19910517  ,-1.67  ,-2.13  ,-1.97  ,-1.73  ,-2.19  ,-2.40
19910520   ,0.23   ,0.18   ,0.31   ,0.30   ,0.38   ,0.57
19910521   ,0.69   ,0.87   ,0.97   ,1.21   ,1.48   ,1.75
19910522  ,-0.55  ,-0.35  ,-0.34  ,-0.03   ,0.11  ,-0.68
19910523   ,0.28   ,0.41   ,0.28   ,0.38   ,0.61   ,0.34
19910524   ,0.67   ,0.56   ,0.65   ,0.80   ,0.71  ,-0.14
19910527   ,0.35   ,0.17   ,0.24   ,0.31   ,0.66   ,0.34
19910528   ,0.26   ,0.35   ,0.48   ,0.82   ,0.49   ,0.53
19910529  ,-0.57  ,-0.52  ,-0.71   ,0.04  ,-0.54  ,-0.48
19910530  ,-0.49  ,-0.20  ,-0.34   ,0.01  ,-0.37  ,-0.49
19910531  ,-0.81  ,-0.87  ,-1.07  ,-0.19  ,-0.15  ,-0.40
19910603   ,0.36  ,-0.22   ,0.11   ,0.48   ,0.07   ,0.39
19910604   ,0.20  ,-0.14   ,0.08   ,0.02  ,-0.11   ,0.04
19910605  ,-0.26  ,-0.43  ,-0.25   ,0.15   ,0.28   ,0.05
19910606  ,-0.50  ,-0.30  ,-0.30  ,-0.26   ,0.04  ,-0.58
19910607  ,-0.81  ,-0.99  ,-0.83  ,-1.30  ,-1.54  ,-1.38
19910610  ,-0.20   ,0.82   ,0.84  ,-0.04  ,-0.21  ,-0.05
19910611   ,0.48  ,-1.66  ,-0.97   ,0.09   ,0.49   ,0.70
19910612  ,-1.02  ,-1.12  ,-1.05  ,-1.33  ,-1.83  ,-1.84
19910613  ,-0.53  ,-0.63  ,-0.77  ,-0.49  ,-0.69  ,-0.68
19910614   ,0.26   ,0.37   ,0.54   ,0.67   ,0.51   ,0.36
19910617  ,-0.08  ,-0.24  ,-0.57  ,-0.17  ,-0.49  ,-0.40
19910618  ,-1.41  ,-1.08  ,-1.00  ,-1.08  ,-1.06  ,-1.19
19910619   ,0.62   ,0.97   ,0.88  ,-0.17   ,0.42   ,0.23
19910620  ,-0.48  ,-0.52  ,-0.28  ,-0.41  ,-0.31  ,-0.28
19910621  ,-0.28  ,-0.32  ,-0.21  ,-0.12   ,0.21   ,0.05
