This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 4 OP portfolios and 4 INV portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoOP LoINV,ME1 OP1 INV2,ME1 OP1 INV3,ME1 OP1 HiINV,ME1 OP2 LoINV,ME1 OP2 INV2,ME1 OP2 INV3,ME1 OP2 HiINV,ME1 OP3 LoINV,ME1 OP3 INV2,ME1 OP3 INV3,ME1 OP3 HiINV,ME1 OP4 LoINV,ME1 OP4 INV2,ME1 OP4 INV3,SMALL HiOP HiINV,BIG LoOP LoINV,ME2 OP1 INV2,ME2 OP1 INV3,ME2 OP1 HiINV,ME2 OP2 LoINV,ME2 OP2 INV2,ME2 OP2 INV3,ME2 OP2 HiINV,ME2 OP3 LoINV,ME2 OP3 INV2,ME2 OP3 INV3,ME2 OP3 HiINV,ME2 OP4 LoINV,ME2 OP4 INV2,ME2 OP4 INV3,BIG HiOP HiINV
199007     ,2.53     ,7.08   ,-13.45     ,4.04    ,-1.93     ,4.55     ,1.03     ,3.74     ,6.07     ,1.75    ,-1.98     ,1.94     ,2.88     ,4.74     ,2.09     ,0.94     ,4.56     ,3.37    ,-0.98     ,4.62     ,5.94     ,6.02     ,2.64     ,2.38     ,4.45     ,7.46     ,6.21     ,2.65     ,5.05     ,7.00     ,5.61     ,8.20
199008     ,2.93    ,-6.32   ,-12.80    ,-3.58     ,4.50     ,3.88   ,-14.48    ,-3.05   ,-25.21    ,-1.47    ,-4.09    ,-3.86    ,-5.90    ,-2.39    ,-3.31    ,-0.64   ,-13.21    ,-4.75    ,-6.32   ,-11.66     ,1.40    ,-3.87    ,-6.04    ,-8.43    ,-3.57    ,-2.74    ,-6.67   ,-10.45    ,-7.23   ,-10.43    ,-9.29     ,3.00
199009    ,-8.64    ,-0.28    ,-4.86    ,-4.60    ,-7.69     ,2.48    ,-3.54    ,-3.95    ,-8.69    ,-6.09    ,-5.54    ,-9.68    ,-7.01    ,-1.14    ,-5.46    ,-2.59    ,-7.03    ,-9.40   ,-10.14   ,-10.49    ,-4.37    ,-6.99    ,-8.62   ,-14.40    ,-3.24    ,-6.04   ,-10.02   ,-14.15    ,-3.12    ,-7.80   ,-10.31    ,-2.83
199010   ,-12.45    ,-8.15   ,-12.62    ,-9.70    ,-7.36    ,-6.58     ,0.28   ,-13.46    ,-6.50    ,-4.41    ,-3.62    ,-3.45   ,-18.29    ,-7.85    ,-6.79    ,-4.76    ,-0.74    ,-1.26    ,-0.06    ,-1.45    ,-6.62     ,0.75    ,-4.66     ,0.82    ,-7.30    ,-5.01    ,-2.40    ,-4.10    ,-4.99     ,4.04     ,2.97    ,-6.89
199011   ,-12.30     ,0.47    ,-8.59    ,-3.36     ,0.14    ,-3.54    ,-2.71    ,-4.90    ,-7.86    ,-5.76    ,-3.66    ,-5.18     ,1.39    ,-0.86    ,-3.76    ,-3.94    ,-9.36     ,0.19    ,-8.95    ,-5.83    ,-7.58    ,-7.95     ,1.68     ,0.35    ,-2.84    ,-1.40     ,1.63    ,-2.59    ,-0.19     ,2.70    ,-4.10    ,-0.61
199012     ,1.27     ,2.29    ,-3.87    ,-4.70    ,-2.17    ,-4.14    ,-4.67    ,-3.77    ,-5.81    ,-6.08    ,-1.54    ,-1.59    ,-7.75    ,-2.47    ,-4.87    ,-2.84    ,-3.51    ,-0.06    ,-0.87     ,0.08    ,-5.81    ,-0.09     ,2.30    ,-1.23    ,-2.54    ,-2.63    ,-2.02    ,-2.02    ,-2.25     ,2.73     ,5.57    ,-2.06
199101    ,-0.28    ,-3.97    ,-6.27     ,2.34     ,5.42     ,5.81     ,6.64     ,3.84    ,-3.53     ,1.58     ,3.70    ,-2.90    ,-1.40     ,2.09     ,2.78     ,3.58     ,3.79     ,1.97     ,9.21     ,5.72     ,3.14     ,7.79     ,6.12     ,8.24     ,1.74     ,4.43    ,11.82     ,6.34     ,7.62     ,4.05     ,7.88     ,0.21
199102     ,1.56     ,6.74   ,-18.01     ,5.61    ,10.47     ,5.23     ,7.86     ,4.45     ,1.33    ,11.13     ,6.73     ,9.55    ,12.61    ,12.57     ,7.76     ,7.60    ,14.31     ,7.18     ,9.85    ,10.39     ,6.25     ,7.89     ,9.25    ,14.41     ,8.09     ,6.33     ,6.48    ,10.11    ,10.18    ,10.35     ,8.69     ,3.81
199103     ,7.98     ,4.05     ,3.48     ,2.34    ,10.95     ,8.41     ,0.60     ,0.23    ,-4.09     ,0.66    ,-1.21    ,-2.22     ,0.68     ,3.07     ,3.40     ,0.26     ,2.68     ,3.25     ,2.74     ,1.86     ,4.33    ,10.57     ,0.37     ,6.46    ,-0.07     ,1.59     ,0.81     ,5.58     ,4.78     ,2.30     ,0.46     ,0.54
199104     ,3.21     ,8.08   ,-15.28    ,19.82     ,7.82     ,2.59     ,1.39     ,5.97     ,3.47     ,3.09     ,2.08    ,-3.34     ,8.04     ,3.62     ,4.67     ,9.95     ,5.23    ,-1.64    ,-1.68     ,3.29     ,6.67     ,1.29     ,7.84    ,-2.43     ,4.50     ,7.16     ,5.23     ,6.47     ,7.92     ,3.51    ,-3.84     ,2.52
