This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199011  ,-5.82  ,-3.46  ,-5.02  ,-5.23  ,-2.23  ,-0.49
199012  ,-4.00  ,-0.98  ,-3.26  ,-2.80  ,-1.03   ,1.48
199101   ,2.90   ,3.82   ,3.74   ,4.88   ,6.39   ,6.61
199102  ,13.19  ,10.52  ,11.70  ,12.06   ,9.55   ,7.80
199103  ,-0.58   ,0.15   ,3.07   ,2.16   ,2.41   ,3.80
199104  ,-0.85   ,4.28   ,2.00   ,4.22   ,4.05   ,0.62
199105  ,-2.92   ,0.14   ,1.57  ,-4.04  ,-0.24   ,1.67
199106  ,-0.21   ,1.06   ,0.16   ,0.30  ,-0.19  ,-0.41
199107   ,6.95   ,4.42   ,4.95   ,7.05   ,5.06   ,8.13
199108  ,-2.48  ,-1.44   ,0.59  ,-2.83  ,-1.46  ,-0.03
199109   ,0.65   ,1.40   ,4.79   ,1.96   ,1.40   ,0.92
199110   ,4.69   ,2.85   ,7.00   ,4.96   ,4.78   ,3.04
199111   ,3.12   ,1.94   ,1.19   ,2.07  ,-1.21   ,0.47
199112  ,-1.67  ,-0.20   ,2.19   ,1.52   ,1.36   ,3.02
199201   ,0.75   ,1.37   ,1.88   ,1.09   ,1.65   ,2.25
199202   ,2.63   ,2.22   ,4.24  ,-0.18   ,1.99   ,4.87
199203   ,0.48   ,0.74   ,0.03  ,-0.01  ,-1.02   ,1.61
199204   ,1.31   ,3.85   ,2.34   ,5.77   ,4.59   ,8.35
199205   ,6.19   ,7.32   ,5.14   ,2.12   ,8.50  ,12.01
199206  ,-2.07  ,-0.32  ,-0.28  ,-1.79  ,-3.14   ,2.94
199207  ,-3.33  ,-2.02   ,0.13  ,-2.75  ,-3.58  ,-3.45
199208  ,-7.83  ,-5.56  ,-3.51  ,-8.43  ,-5.64  ,-3.93
199209  ,-1.57  ,-1.06  ,-3.38  ,-4.07  ,-2.39  ,-0.74
199210   ,0.74   ,1.35   ,2.46  ,-5.39   ,2.57  ,10.80
