This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Europe.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199011  ,-3.63  ,-2.13  ,-1.49  ,-1.93   ,1.23   ,0.83
199012  ,-2.07   ,0.14   ,0.48  ,-0.02  ,-1.09  ,-1.53
199101  ,-1.44  ,-2.38  ,-1.69   ,3.51   ,2.91   ,1.27
199102  ,15.34   ,8.03   ,6.61  ,11.21   ,7.84   ,4.95
199103  ,-3.88  ,-4.61  ,-4.49  ,-6.70  ,-7.10  ,-5.63
199104  ,-2.05  ,-0.35   ,0.76  ,-0.54  ,-0.43  ,-0.23
199105  ,-2.55  ,-1.79  ,-0.99   ,2.64   ,2.06  ,-0.20
199106  ,-7.05  ,-6.25  ,-5.87  ,-6.59  ,-7.80  ,-6.69
199107   ,1.30   ,3.51   ,5.21   ,2.56   ,5.01   ,8.77
199108   ,0.32   ,0.92   ,7.36   ,1.44   ,2.14   ,1.93
199109   ,3.14   ,5.16   ,8.67   ,1.57   ,2.92   ,4.50
199110  ,-4.60  ,-3.31  ,-0.16  ,-2.84  ,-2.40  ,-1.14
199111  ,-1.97  ,-0.80  ,-0.26  ,-1.44  ,-1.76  ,-2.30
199112   ,3.08   ,3.07   ,3.55   ,4.60   ,7.31   ,7.99
199201  ,-1.05  ,-1.23  ,-0.36  ,-0.31   ,0.16   ,0.49
199202  ,-0.80  ,-0.34   ,0.65  ,-1.20  ,-0.14   ,0.38
199203  ,-3.40  ,-1.72  ,-2.35  ,-3.13  ,-3.49  ,-3.05
199204   ,2.15   ,3.49   ,6.43   ,5.89   ,5.15   ,5.36
199205   ,4.18   ,5.27   ,7.00   ,5.39   ,5.87   ,4.71
199206  ,-2.60   ,0.84   ,0.63  ,-4.29   ,0.14  ,-0.68
199207  ,-6.42  ,-4.04  ,-5.04  ,-6.91  ,-3.15  ,-3.03
199208  ,-3.65  ,-0.68   ,0.11  ,-2.78  ,-0.51   ,1.31
199209  ,-8.51  ,-4.40  ,-4.58  ,-5.30  ,-2.14  ,-0.96
199210  ,-7.21  ,-9.77 ,-10.39  ,-4.83  ,-7.89  ,-8.06
199211  ,-2.72  ,-2.91  ,-1.79   ,0.63   ,0.23  ,-0.91
199212   ,1.29   ,1.63   ,1.42   ,0.25   ,1.09   ,2.47
199301   ,4.38   ,3.59   ,5.08   ,3.18   ,0.03  ,-0.25
199302   ,1.04  ,-0.15   ,0.68   ,2.55   ,2.25   ,0.18
199303   ,6.06   ,6.50   ,8.58   ,4.68   ,4.23   ,7.94
199304   ,7.04   ,4.31   ,6.04   ,3.59   ,1.94   ,0.64
199305   ,1.64   ,0.70   ,1.38   ,0.19   ,0.46   ,2.49
199306  ,-5.67  ,-4.28  ,-3.40  ,-3.13  ,-3.17  ,-1.73
199307   ,1.19  ,-0.65   ,1.55   ,1.01   ,1.31   ,1.49
199308  ,10.39   ,8.72   ,9.06   ,8.99   ,9.37   ,7.69
199309  ,-0.12   ,1.05   ,1.52  ,-1.80  ,-0.33   ,0.38
199310  ,-0.68   ,1.21   ,1.93   ,1.99   ,3.53   ,2.90
199311  ,-1.51  ,-1.39  ,-1.75  ,-1.54  ,-1.97  ,-2.96
199312   ,5.31   ,5.45   ,6.19   ,7.47   ,7.13   ,8.78
199401  ,10.86  ,10.81  ,13.23   ,6.03   ,4.13   ,8.17
199402   ,1.14   ,0.22   ,0.98  ,-2.51  ,-4.07  ,-4.22
199403   ,0.28  ,-0.50  ,-3.61  ,-1.80  ,-2.96  ,-2.91
199404   ,3.43   ,3.84   ,3.87   ,4.05   ,4.63   ,3.58
199405  ,-2.44  ,-1.86  ,-2.27  ,-4.10  ,-3.53  ,-4.44
199406  ,-0.88  ,-0.95  ,-1.73  ,-0.37  ,-0.82  ,-1.57
199407   ,1.59   ,2.02   ,3.18   ,5.38   ,5.54   ,4.38
199408   ,1.21   ,1.59   ,1.49   ,2.84   ,2.30   ,1.45
199409  ,-1.11  ,-0.75  ,-0.18  ,-4.15  ,-3.48  ,-2.80
199410   ,1.29   ,0.96   ,1.31   ,4.03   ,4.26   ,4.57
199411  ,-3.71  ,-4.60  ,-4.17  ,-3.15  ,-4.53  ,-5.04
199412   ,0.05   ,1.23   ,0.92  ,-0.22   ,0.61   ,0.67
199501  ,-0.42   ,0.20   ,1.30  ,-2.82  ,-0.68  ,-0.15
199502   ,0.59   ,1.33   ,2.60   ,1.73   ,2.55   ,2.95
199503   ,0.72   ,2.54   ,3.42   ,5.37   ,4.75   ,2.20
199504   ,1.30   ,1.11   ,1.72   ,4.10   ,2.45   ,3.69
199505   ,2.82   ,2.26   ,1.39   ,2.12   ,2.42   ,2.35
199506   ,0.73   ,1.38   ,3.64  ,-0.80   ,1.16   ,3.08
199507   ,2.23   ,2.88   ,4.07   ,4.66   ,4.29   ,4.76
