This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and BEME.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. 
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
192709,  -4.9477,  -6.1671,  -0.1921,  -0.8884,   0.6283,   2.1491,   7.0763,   2.6562,   1.1453,  -1.3056,   2.3786,  -0.7241,   0.9078,   1.5049,   9.2306,   3.7729,   2.5973,   3.9377,   3.7608,   9.8708,   5.8035,   3.3660,   5.0324,   3.6608,   5.5923
192710,  -9.6093,  -9.5653,  -2.2257,  -4.3552, -10.1170,   2.2849,  -1.2062,  -0.3384,  -4.0220,  -4.3916,  -0.8775,  -1.8885,  -0.1039,  -4.7139, -10.2228,   0.1234,  -2.0736,  -2.7735,  -4.8551, -11.7810,  -5.2088,  -2.5865,  -4.2730,  -6.5890, -14.5457
192711,   6.8966,  13.8113,  16.2027,   7.9722,  12.1263,  14.1258,  15.1503,   8.0740,   8.8653,   8.4672,   6.1787,   8.3476,   8.6790,   5.9674,   9.5865,   7.3422,   7.9880,   7.3854,   7.4340,   8.1010,   6.0761,   6.3267,   5.4295,   6.4287,   8.0776
192712,  -3.9895,   2.5682,   3.1789,   2.8363,   6.9476,   4.0127,   2.9256,   1.8211,   3.2399,  -0.5124,   3.7445,   3.7818,   3.8005,   3.0753,  11.3299,  -0.4764,   4.8988,   3.5578,   1.0001,  -2.3196,   2.4575,   0.6160,   0.6931,   1.9354,  10.3769
192801,  -8.7630,   9.7073,   5.0289,   1.5320,   9.9855,   1.3326,   3.6593,  -0.0359,   4.8434,   2.2786,   4.6336,   2.5505,   3.6864,   1.7667,  -6.0260,   1.4805,   0.9543,   0.1028,   2.0008,   0.3207,  -1.4183,  -0.5051,  -0.7656,  -1.9538,  -5.0648
192802,   0.6463,  -2.9935,   5.5153,   2.8665,  -4.8752,  -5.7780,  -2.1350,  -2.6221,  -2.2867,  -5.6043,  -2.6691,  -2.1407,  -3.2874,  -2.5644,  -6.3744,  -5.0439,  -1.2079,  -2.8495,  -3.3138,  -8.5240,  -0.4937,  -0.9057,  -0.9836,  -2.6766,  -1.3892
192803,  40.0538,  -1.1630,   1.5163,  -3.0277,   8.9589,   4.2129,  11.2200,   6.2450,   7.6653,  14.2137,   5.6522,  10.9971,   9.6571,   2.2218,  11.7466,  15.9302,   8.6585,   4.8089,   7.3156,   7.9080,  15.3141,   4.5362,   6.1442,   5.4184,  16.7279
192804, -13.2758,   8.4567,  17.1059,   2.8104,  15.5896,   0.2405,  22.9800,   3.3605,   4.3110,  10.4199,   7.7287,   4.2454,   7.2828,   3.9253,   6.7036,   5.0314,   4.8232,   2.2169,   4.4013,   3.7146,   1.2536,   6.5894,   6.4927,   2.4846,   3.3096
192805,  17.7179,  -0.1191,   4.2123,  14.4404,   5.7369,   2.0846,   3.7085,   5.5217,   5.3547,   3.2470,   2.6704,   6.6664,   1.4038,  -2.1291,  -3.4121,   5.2264,  -0.7349,   0.8383,   0.8833,   1.9741,   1.5387,   1.9044,  -0.9823,   0.6805,  -3.8808
192806, -19.2709,  -7.8503, -13.7208,  -9.5040,  -9.4805,  -6.4215,  -9.6801,  -9.0150,  -7.6188,  -6.2034,  -6.9980,  -5.3940,  -7.8641,  -7.5227,  -7.0283,  -7.5123,  -6.0147,  -4.0365,  -6.1695,  -5.8891,  -3.5540,  -4.2790,  -4.0356,  -5.3541,  -9.1120
192807,  -2.0217,   3.3308,   5.1180,   2.0360,  -0.3159,   0.7063,  -4.1121,  -1.4773,   0.5254,  -2.6328,  -0.3486,  -0.6878,  -0.9522,  -0.1969,   1.3815,   0.6467,  -0.6906,   1.1578,   1.3764,   0.8680,   1.4402,  -0.0178,   0.1056,  -0.3936,   0.7709
192808,   7.5257,   0.5454,   4.1219,   2.0365,   3.5138,   6.6093,   3.5137,   3.6553,   3.0446,   4.8925,   5.2712,   8.8630,   8.0499,   3.8619,   7.9159,   9.9685,   7.9644,   6.1396,   7.3741,   7.4032,   8.2934,   6.3573,   4.5458,   4.1579,   4.9839
192809,   3.7129,   3.1614,   1.9054,  -0.3617,  13.2367,   2.9087,   2.0341,   5.2508,   4.6653,  12.9344,   3.6109,   4.1669,   5.2120,   6.3255,   2.8381,   5.3037,   5.6655,   2.5200,   2.7551,   5.9184,   2.4705,   0.4750,   1.9085,   0.4276,   6.6834
192810,  -3.9425,  -4.2519,   4.1512,   3.7426,   6.4470,   4.5196,   2.8798,   2.0225,   1.1427,   0.6282,   5.2920,   4.6367,   2.4701,  -0.1665,  -1.8370,   0.5815,  -1.0956,  -1.8997,   4.5583,  -3.6579,   1.4157,   2.6557,   1.2885,  -0.8938,   4.2397
192811,   3.8603,  30.0374,   7.7079,  16.4563,  12.7121,   6.3504,   7.5662,  10.2844,  13.2955,   8.8595,   8.5795,  11.1787,  18.0634,  13.3478,  15.7055,  11.0236,  11.5348,   9.4116,   7.3678,  13.8469,  10.7796,  10.2669,  15.1858,   8.8573,  17.8916
192812,  -5.4317,  -7.7337,  -5.5250,  -2.5818,  -1.9012,  -2.3803,  -3.4093,  -1.0010,  -4.4417,   0.3554,   2.8988,  -0.6097,   0.2761,   0.8745,  -0.0887,   2.4094,   3.0248,  -0.0873,   1.3686,  -3.3414,   0.1785,   0.5231,  -1.3032,   0.6885,  -0.2570
192901,   2.9249,   7.9985,  -4.8900,   5.9288,   5.0850,   2.6899,   1.1937,   1.5734,  -0.4774,   0.3653,   1.3331,   4.4790,  -5.0191,   3.3017,   2.0000,   4.5185,   4.8037,   3.6151,   1.0091,   1.1437,   6.4815,   9.9692,   2.2507,   4.2848,   0.0249
192902,   0.9617,  -7.9993,  -3.1236,  -0.0641,  -1.3350,  -3.4239,   1.6742,   3.5918,   0.4757,   4.6614,   1.2593,   0.1097,   0.3429,   3.7600,   0.2146,  -1.4680,   1.2784,   3.2374,   0.1432,   1.5527,  -1.1710,   0.9813,  -0.0860,   0.4977,   3.2517
192903, -14.5269,  -0.6033,  -3.0234,  -4.9347,  -2.4352,  -4.2383,  -6.5005,  -5.8009,  -2.6627,  -4.1647,  -7.7225,  -5.4163,  -3.1355,  -3.4667,  -5.6561,  -5.0027,  -5.7519,  -0.2036,  -1.6903,  -1.1298,  -0.4720,  -0.0286,   3.1361,  -0.2932,  -0.0757
192904,  -4.4228,  -9.2246,  -0.5601,   7.4085,  -1.9532,  -0.4975,   0.5462,   4.2451,  -2.4907,   2.5596,   0.8063,   0.3607,   3.4242,  -0.5842,   1.2370,   2.9358,   0.1996,  -0.6048,   1.5506,   4.5725,   1.9648,   2.6536,   0.8240,   0.6334,   2.6298
192905, -21.8773,  -6.4153, -17.4473, -15.7949, -13.0119, -11.4495, -12.0323,  -8.1932, -13.5787, -14.3845,  -6.3204, -10.6575,  -8.2650,  -9.3029,  -9.0038,  -7.4358, -10.7780,  -3.5452,  -5.5249,   0.4819,  -6.1292,  -6.1519,  -3.6744,  -3.1499,  -1.8704
192906,  15.9956,   3.9139,   3.8994,   6.7303,   6.5527,   3.3939,   5.7587,  10.9391,   4.2488,   6.0017,   6.2412,  10.1682,   9.7019,   7.5735,   8.7400,  12.6938,  10.1448,  10.6383,   8.8603,   3.4458,  11.6210,  13.1707,   7.5797,   7.2639,   4.3052
192907,   0.2478,  -5.3345,  -4.0570,  -8.9964,   2.3089,  -2.7142,   1.8941,  -1.7466,   0.1131,   6.0392,   0.2394,   3.2690,   0.9848,  -0.8036,  10.7093,   1.7132,   2.9480,   1.5082,   2.3762,   4.1216,   2.7863,   6.3577,   5.8489,   8.1575,   4.8794
192908,  -4.1263,  -4.4864,  -9.3700,   4.5330,  -4.6987,  -1.2892,   0.4142,  -0.2330,   0.5136,  -0.5904,   1.5847,   0.5626,   5.3965,   1.7412,  -0.2876,   3.1943,  -0.0321,   3.6018,   5.0750,   7.3749,   6.4350,  12.7967,  13.0494,  12.9724,   6.3717
192909, -10.3134,  -2.4655,  -9.0455,  -6.1435, -10.0063,  -7.9264,  -3.3980,  -5.1272,  -6.3376,  -2.2515,  -9.8800,  -0.5562,  -2.8805,  -3.8032,  -0.9630,  -1.1433,   0.8495,  -4.8542,  -4.7184,  -7.2368,  -5.8261,  -4.0531,  -4.4748,  -7.3864,  -7.2446
192910, -27.4436, -23.8083, -19.2088, -23.7403, -16.9079, -20.0796, -19.6323, -22.9422, -16.4111, -17.5409, -28.5792, -20.7760, -12.9665, -15.7487, -19.0514, -29.4751, -23.4181, -16.6111, -13.4993, -17.3250, -24.8376, -20.5233, -13.2962, -11.0043,  -7.4875
192911,  -1.3563, -16.5163,  -4.6080, -16.0135, -15.6893, -19.3908, -14.9623, -10.2676, -10.7243, -14.3994, -14.2004, -13.1478,  -8.2108,  -8.7494, -12.2907, -15.1777, -15.1299,  -7.8324,  -9.2622, -11.7634, -13.7466, -17.3180, -10.3697, -10.1556,  -6.8186
192912,  -0.4171, -22.4125, -10.4789,  -8.7887,  -3.5147,  -6.3272,  -7.1181,  -8.3260,   0.1603,  -4.8277,  -3.6818,  -1.7101,   1.2769,  -3.3718,   4.7437,   1.8047,  -3.9997,  -3.5278,  -0.3257,  10.8419,   3.3036,   3.0544,  -0.1633,   0.2406,  -0.0136
193001,  -4.3903,   9.7027,  21.8332,  11.8021,  10.9299,   7.5206,  11.2266,   8.5899,   4.2291,  14.3933,   8.9961,   9.9610,   3.8701,   5.5969,   4.1286,   8.1047,   5.8432,   5.1309,   3.4816,   3.5606,   6.6484,   7.3551,   0.4820,   4.4096,  -0.4104
193002,  16.9723,  14.2778,  -1.7111,  -1.5633,   2.7560,  -1.9117,   2.2210,   3.8110,   0.7338,   5.1519,   1.6435,   2.8171,   1.7073,   3.3500,   2.6743,   2.3903,   8.3455,  -1.7186,  -0.2310,   0.5368,   2.5449,   4.2710,   0.8650,   1.0766,   4.4434
193003,  22.8187,  -1.8224,   6.5374,  16.1875,  11.5823,   5.7624,   3.9451,  13.3273,   7.9293,   5.3719,   8.4690,   7.8599,   7.1467,   7.8136,  13.5960,   8.1800,   5.4059,   6.7010,  11.2642,  10.9418,   6.1493,   5.6825,  10.8772,   4.3556,   1.7356
193004,  -8.0867,  -5.1520,  -7.7820,  -7.7391,  -5.3932,  -9.3692,  -5.5244,  -3.3014,  -4.2073,  -5.3051,  -4.0801,  -4.7707,  -5.2061,  -3.6750,  -2.4801,  -2.7549,  -5.3825,  -6.1991,  -5.2236,  -4.7822,  -1.0042,  -3.5627,  -0.1136,  -6.3844,  -7.6094
193005,  -2.4085, -13.4212,   3.6605,  -5.1405,  -6.3941,  -5.8346,  -1.6096,  -5.5619,  -4.8733,  -3.5504,  -3.7711,  -0.8860,  -4.3077,  -2.5687,   0.3176,  -2.9652,  -3.9018,  -3.7634,  -0.4111,  -5.1609,   0.3891,  -0.1394,  -2.3117,  -2.1336,  -1.3292
193006, -13.4475, -19.8604, -16.8883, -15.8912, -21.1573, -24.7798, -18.2256, -17.2114, -17.7411, -19.0124, -15.4268, -18.5569, -15.3096, -14.3442, -18.0554, -21.8811, -18.2197, -16.2346, -14.9440, -18.9132, -18.0744, -17.2407, -13.9805,  -9.9299, -10.0851
193007,   2.6405,   1.3146,  12.9011,   2.6771,   1.0995,   7.7565,   6.0623,   4.2185,   2.4216,   0.8179,   6.0498,   5.5553,   1.7020,   4.1987,   2.8600,   4.4499,   4.2738,   3.6553,   1.5287,   1.8338,   4.9852,   3.7067,   3.1710,   1.8223,   7.3314
193008,  -9.3290,  -8.5398,  -3.2926,  -6.1640,  -3.5783,  -4.4676,   0.1254,  -1.0155,  -3.1903,  -0.9432,  -2.7311,  -1.8643,  -2.0854,  -1.2706,  -1.2090,   1.6990,  -0.6505,  -2.2569,  -2.9149,   3.1467,   0.9040,  -0.7224,  -0.1182,  -2.1284, -24.0437
193009, -30.8037, -33.7274, -29.9790, -19.5012, -19.6519, -15.2450, -15.2563, -14.8783, -16.0960, -19.7511, -13.7596, -15.4567, -12.7573, -16.1683, -21.7125, -13.4417, -15.5673, -13.3668, -13.6595, -18.2530, -12.9064, -12.3283,  -9.7687, -15.0553, -28.0576
193010, -31.8635, -10.3738,  -6.8098, -15.1500,  -9.8368,  -6.2248, -11.7782, -11.2200, -10.1315,  -8.3386, -14.0466,  -9.1060,  -6.6548, -11.8335, -18.7547, -11.5053,  -9.8930,  -8.3015, -11.5947, -12.7708, -10.2837,  -7.0310,  -7.4070,  -8.9405, -20.0000
193011,  19.7776, -15.4883,  -4.4972,  -1.5443,  -3.8453,  -6.9593,   1.7020,  -3.8494,  -3.0114,  -4.3808,  -1.0554,  -1.1602,  -2.7643,   1.9886,  -6.5285,  -1.1099,   0.3294,  -2.8282,  -4.8756,  -2.5984,  -2.9657,  -1.7610,  -5.1316,  -7.7659, -12.5000
193012, -18.3651, -25.1568, -24.3865, -14.3946, -17.4006, -15.2662, -12.6394, -13.3714, -16.9290, -18.6827,  -6.6038, -10.2426,  -8.6266, -12.6863, -17.5956,  -8.7320, -10.4175, -12.3476, -11.6592, -13.3742,  -5.8772,  -8.9488,  -8.0741, -11.9231, -30.0000
193101, -23.7063,  22.1097,  15.7748,  16.6690,  19.7393,  13.0969,  10.9324,  11.7510,  13.8371,  15.2454,  10.8932,   8.5122,   8.7531,   7.7013,  18.5266,   6.8992,   6.7905,   4.3379,   7.6661,  11.4429,   4.1198,   4.4425,   7.3412,  16.3660,  34.6939
193102,  17.7692,  20.6779,  48.6609,  23.7205,  23.8714,   8.8192,  10.9232,  10.5409,  11.0134,  15.4724,  15.2209,  13.9313,  12.5295,  10.6297,  12.5007,  13.3799,  11.6600,   7.6703,   5.5512,  17.8260,  13.3573,   8.7571,   4.3280,   6.6379,  42.4242
193103,  -7.7882,   0.7521,  -1.7800,  -5.7519,  -8.7260,  -2.2779,  -9.3519,   4.1485,  -6.0062,   1.3334,  -1.6608,  -8.2578,  -4.7311,  -5.8466, -12.6798,  -7.2116,  -7.1294,  -8.9032, -10.2393,  -9.3430,  -4.1130,  -9.0666,  -9.9420, -11.5616, -19.6809
193104, -15.3550, -25.6785, -23.8191, -15.0683, -16.0562, -16.7635, -17.6126, -12.7213, -14.9952, -20.9237, -12.0957, -14.1470, -13.5815, -18.2145, -17.6793, -13.6575, -11.3088, -15.6181, -12.8379,  -5.5499,  -9.2571,  -8.4290, -10.9132, -10.4999, -23.8411
193105,  -8.5388,   1.2585, -15.8782, -11.8869, -15.9272,  -8.1287,  -8.3046,  -5.8782, -11.5349, -12.0153, -16.7741, -13.5059,  -9.6980, -13.1184, -17.4219, -10.3862, -12.7302, -16.6983, -25.7598, -29.4732, -12.1130, -11.7000, -18.5593, -18.8668, -22.6087
193106,  20.8367,   6.8787,  14.0651,  15.1079,  17.6121,   8.6342,   7.1236,   1.2228,  11.9860,  21.0170,  12.4845,  10.0755,   6.9124,  17.7734,  28.2694,  12.9478,  14.1869,  18.0925,  29.5507,  33.3319,  12.3390,  12.9970,  14.3198,  21.1239,  40.4494
193107,  -6.3445, -11.6991,  -9.6939,  -7.9001,  -4.9578,  -6.0297,  -5.8145,  -7.9333,  -6.4751,  -7.3422,  -6.6277,  -7.7175, -10.3387,  -8.7785, -12.9384,  -5.6389,  -5.3172,  -8.5643,  -9.1387, -13.5493,  -5.5223,  -7.2614, -11.8136, -13.2188,   0.0000
193108, -13.2200,  -0.2852,  -5.0247,  -5.0575,  -5.3727,   4.7199,  -0.6046,   3.0738,  -1.7859,  -4.5564,  -1.2066,  -1.1901,  -1.5112,  -3.2907,  -4.6482,  -1.1445,  -2.5734,   1.5523,   3.6163,   6.6549,  -0.3847,   1.0486,  -1.1521,  -3.8456,   8.4337
193109, -49.4730, -30.9794, -28.4077, -35.7416, -31.5881, -27.7129, -25.9775, -35.7661, -30.6274, -37.3877, -27.7645, -31.5622, -31.9737, -33.6610, -34.1349, -30.4216, -25.8721, -30.3139, -34.1961, -41.4557, -29.8264, -25.2962, -32.4001, -33.5969, -45.5556
193110,  12.6793,  -3.4816,   0.5496,   8.9747,   6.4250,   6.1226,   0.7520,   8.0725,   7.3380,  12.7797,   0.5114,  13.3117,  10.5377,   8.4538,   6.4063,   8.5893,   5.7089,  11.2325,  12.2502,  13.1310,   9.0156,   6.6112,   0.0759,   3.5766,  20.4082
193111, -23.9803, -22.2863, -10.2839,  -7.5258, -11.8178, -12.8176,  -7.5193,  -8.1030,  -5.6009, -11.1334,  -6.5802, -10.2331,  -5.2827, -11.0222, -10.6534,  -7.8923,  -4.4338, -11.5529, -14.0209, -11.4839,  -6.6027, -11.7758, -20.3442, -22.1680,  -6.7797
193112, -25.3044,  -3.7647, -19.4012, -27.4779, -25.1205, -11.1941, -13.7022, -15.0358, -18.6950, -24.1234, -15.6776, -19.1400, -18.2547, -15.5932, -16.2804, -12.2821, -14.8546, -11.8232, -21.8633, -25.7755, -11.4328, -17.0667, -22.8524, -24.3780, -30.9091
193201,   5.5527,  -6.6468,   8.3063,  14.5400,   6.1029,  -1.2147,  -1.9054,   4.6780,  14.2412,  18.3762,   0.9832,   3.6444,   2.2065,  -1.8919,   5.5140,  -3.9442,  -0.9324,  -1.0264,   3.8507,   1.9409,  -3.9187,  -1.9717,   2.6284,  10.9191,   7.8947
193202, -12.7896,  -0.0154,   5.8810,  -2.3234,   3.5727,  -5.4119,   3.2908,  -2.4149,  -4.9362,  -1.2158,  -0.0800,   2.4634,   2.2674,   0.2285,  -1.4858,   3.2317,   4.5150,  -1.7280,   0.9107,   3.7601,   6.5913,   4.5320,   3.1771,  -3.3170,  14.6341
193203, -23.0216,  -3.9056,  -3.2485, -10.2904, -12.4100,  -5.9335, -14.2669, -11.8843,  -4.4813, -13.2422,  -9.2626, -15.4641, -12.0260, -13.7205, -11.1987, -11.8573, -11.8852, -11.8898, -12.7400, -10.1478, -11.8092, -10.8163, -15.0166, -23.5663,   2.1277
193204, -40.7620, -16.8293, -35.3448, -30.6308, -17.8749, -20.9656,  -8.9230, -15.0032, -17.6031, -14.3736, -18.4771, -13.5659, -15.4668, -16.6895, -22.6971, -15.4931, -16.2160, -17.9201, -14.2341, -15.2035, -18.4695, -20.7599, -19.7955, -22.1641, -22.9167
193205, -12.8641, -35.2372,  -5.8922, -14.2145,  -8.7917, -11.9878, -21.8163, -22.1664, -17.4305, -20.4772, -24.3052, -24.6153, -27.1570, -24.0855, -26.4443, -21.1376, -20.9084, -18.3597, -19.1994, -27.9405, -21.0508, -17.9868, -31.5850, -36.7136, -10.8108
193206,  35.7939, -16.9948,   5.3018,  -5.5445,  -3.6625,  -9.2656,  -4.9040,  -5.9057,  10.9657,   6.5301,   5.6712,   2.8539,   6.5932,   4.8904,   0.4757,   0.3368,   2.3373,  -5.4428,   8.7345,   0.4792,  -4.5128,  -1.0959,   3.9830,   8.1960,  21.2121
193207, 147.8401,  14.3231,  41.7270,  38.2866,  54.7795,  37.5774,  27.6658,  41.5667,  52.5747,  69.5152,  26.4707,  30.2539,  39.3395,  54.2436,  68.7211,  30.0818,  30.7641,  39.7969,  68.7899,  80.0358,  26.2382,  37.0706,  50.1524,  56.4150,  98.0392
193208,  49.3739,  94.6241,  82.8825,  83.8394, 100.3773,  34.3849,  67.0166,  56.3282,  59.4020,  89.9724,  54.4182,  38.9286,  46.8716,  69.3114,  74.3792,  29.0002,  43.3844,  65.7027,  63.5623,  86.6040,  30.2852,  34.0755,  46.9258,  51.8697,  65.3465
193209, -27.1191, -11.0603, -16.3193,  -4.5548, -17.1356,  -1.7021,  -6.3692,  -5.4914,  -8.2333, -12.5966,  -5.8415,  -8.3624,  -3.1992, -11.8534,  -9.4062,  -0.3496,  -4.7655,  -8.9492,  -7.1175,  -8.9044,  -0.3497,  -6.8831,  -8.8904,  -2.8747,  15.5689
193210,  -9.1645, -13.1779, -26.4345, -20.3610, -19.7915, -12.4439, -21.9808, -17.3273, -24.4888, -22.5008, -15.3344, -15.9728, -21.4433, -23.6681, -25.6989, -11.3705, -18.1548, -19.2451, -20.3835, -25.6917, -11.5382,  -9.8780, -15.3861, -19.6286, -30.0518
193211, -26.5600, -13.2958,  -8.2868, -11.9950,  -7.3120,  -3.9727,  -7.5773,  -8.6877,  -7.9145, -17.4380,  -3.9005,  -1.5786,  -8.7303, -11.2068, -15.1052,   2.0443,  -5.3998,  -9.5451, -15.3017, -19.9830,  -3.7974,  -2.8713, -10.6951,  -8.5679, -31.1111
193212,   7.0207, -11.8895,  -2.5648, -12.6054, -16.2939, -19.5821, -16.2821,  -2.7539, -11.7536,  -7.5907,  -2.6853,   2.6353,   0.5056,  -4.7687,  -6.6153,   2.3670,  -0.3764,   0.6049,   0.3986,  -9.9337,   6.0011,   6.9078,   1.0294,  -7.6233,  15.0538
193301,  57.2754,  -0.9456,   1.5203,  -7.1322,   3.6981,   7.5440,   6.0150,   3.5923,   5.5089,   7.6263,   0.8209,   6.7380,   2.0897,   3.4078,  12.8154,   2.0898,   3.1144,   4.4936,   4.4423,  16.5315,  -0.5294,  -0.5095,   4.3761,   3.5593,  14.9533
193302, -44.6775, -18.8320, -17.9897, -14.5265, -15.9034, -26.7740, -26.6756, -24.1653, -20.1491, -21.0749, -16.6699, -18.1870, -18.4226, -19.7574, -19.7892, -13.5966, -16.5826, -13.9448, -12.4654, -22.9726, -15.1230, -17.9092, -15.9263, -17.6246, -24.3902
193303, -16.5161,   7.1789,  -4.8469,   5.6542,  18.5025,  14.2512,  10.1934,   3.2118,  13.0740,  21.9814,  -0.6633,   9.7638,   5.4175,  14.7931,   8.7236,   9.3767,  11.3383,  15.1218,  10.0411,   7.9911,  -1.2607,   4.9035,   5.8959,   7.6360,   7.5269
