This file was created by CMPT_ME_PRIOR_RETS_DAILY using the 201509 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
ST_REV is the average of the returns on two (big and small) low prior return portfolios
minus the average of the returns on two high prior return portfolios.  The portfolios
are constructed daily.  Big means a firm is above the median market cap on the NYSE
at the end of the previous day; small firms are below the median NYSE market cap.
Prior return is measured from day -  20 to -  1.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,ST_Rev
19260126,   0.14
19260127,   0.63
19260128,   0.21
19260129,   0.54
19260130,   0.45
19260201,  -0.32
19260202,   0.15
19260203,  -0.40
19260204,  -0.41
19260205,   0.29
19260206,  -0.14
19260208,   0.21
19260209,  -0.30
19260210,   0.13
19260211,  -0.16
19260213,   0.26
19260215,   1.22
19260216,  -0.22
19260217,   0.42
19260218,   0.37
19260219,  -0.16
19260220,  -0.07
19260223,  -0.49
19260224,   0.36
19260225,  -0.39
19260226,  -0.44
19260227,   0.68
19260301,  -0.44
19260302,  -0.81
19260303,  -0.20
19260304,   6.51
19260305,   1.98
19260306,  -0.25
19260308,  -0.42
19260309,   0.85
19260310,   1.45
19260311,   0.63
19260312,  -0.11
19260313,  -0.55
19260315,   0.36
19260316,  -0.23
19260317,  -0.15
19260318,  -0.92
19260319,  -0.16
19260320,  -0.03
19260322,   1.18
19260323,  -0.70
19260324,  -0.80
19260325,   0.04
19260326,   0.50
19260327,   0.04
19260329,  -0.97
19260330,   0.64
19260331,   4.88
19260401,   1.00
19260403,  -0.12
19260405,   1.24
19260406,   0.92
19260407,   0.28
19260408,   0.03
19260409,   0.66
19260410,  -0.63
19260412,  -0.73
19260413,   1.75
19260414,  -0.32
19260415,   1.17
19260416,   0.10
19260417,   0.48
19260419,   0.17
19260420,   0.23
19260421,   1.48
19260422,   1.14
19260423,   0.43
19260424,   0.24
19260426,   0.71
19260427,  -0.13
19260428,  -0.52
19260429,   0.33
19260430,  -0.36
19260501,   0.21
19260503,   0.67
19260504,   0.10
19260505,   0.10
19260506,  -0.35
19260507,   0.41
19260508,   0.02
19260510,   0.45
19260511,  -0.21
19260512,  -0.02
19260513,   0.34
19260514,   0.18
19260515,  -0.82
19260517,  -0.24
19260518,   0.05
19260519,  -0.15
19260520,   1.07
19260521,   1.38
19260522,   0.43
19260524,   0.37
19260525,   0.66
19260526,   0.08
19260527,   1.03
19260528,   1.21
19260601,   0.94
19260602,   1.35
19260603,   0.67
19260604,   1.07
19260605,   0.06
19260607,   0.13
19260608,   0.26
19260609,   1.07
19260610,  -0.06
19260611,   0.13
19260612,  -0.17
19260614,   0.12
19260615,   0.44
19260616,  -0.51
19260617,  -0.38
19260618,   1.18
19260619,  -0.36
19260621,  -0.02
19260622,   0.59
19260623,   1.60
19260624,   0.02
19260625,   0.76
19260626,  -0.09
19260628,  -0.22
19260629,  -0.37
19260630,   0.09
19260701,   0.47
19260702,   0.66
19260706,  -0.07
19260707,   0.57
19260708,   0.02
19260709,   0.90
19260710,  -0.21
19260712,  -0.72
19260713,  -0.13
19260714,  -0.13
19260715,   0.32
19260716,  -0.31
19260717,  -0.15
19260719,  -0.29
19260720,   0.43
19260721,   0.64
19260722,  -0.01
19260723,   0.14
19260724,   0.82
19260726,   0.08
19260727,   0.31
19260728,   0.05
19260729,  -0.33
19260730,   0.30
19260731,   0.16
19260802,   0.34
19260803,  -0.23
19260804,   0.80
19260805,  -0.09
19260806,   0.30
19260807,  -0.42
19260809,  -0.08
19260810,   2.09
19260811,   0.22
19260812,  -0.03
19260813,  -0.32
19260814,   0.02
19260816,   0.13
19260817,   0.77
19260818,  -0.28
19260819,   0.58
19260820,   0.65
19260821,   0.17
19260823,  -0.28
19260824,   0.55
19260825,   0.08
19260826,  -0.10
19260827,   0.20
19260828,  -0.14
19260830,   0.60
19260831,   0.46
19260901,   0.33
19260902,   0.72
19260903,  -0.12
19260907,   0.67
19260908,   0.78
19260909,  -0.01
19260910,   0.54
19260911,   0.28
19260913,  -0.07
19260914,   0.13
19260915,   0.14
19260916,   0.24
19260917,   0.51
19260918,   0.13
19260920,   0.05
19260921,   0.52
19260922,   0.04
19260923,   0.05
19260924,   0.42
19260925,   0.14
19260927,  -0.13
19260928,   0.16
19260929,   0.28
19260930,   0.03
19261001,  -0.34
19261002,  -0.03
19261004,  -0.02
19261005,   0.08
19261006,   0.13
19261007,   0.29
19261008,   0.15
19261009,   0.20
19261011,  -0.24
19261013,   0.98
19261014,  -0.14
19261015,  -0.52
19261016,  -0.08
19261018,   0.76
19261019,  -0.31
19261020,   0.17
19261021,   1.73
19261022,   0.48
19261023,   0.95
19261025,  -0.36
19261026,   0.65
19261027,   1.60
19261028,   0.07
19261029,   0.03
19261030,  -0.07
19261101,   0.09
19261103,   0.79
19261104,   0.39
19261105,   0.53
19261106,  -0.01
19261108,   0.01
19261109,   0.22
19261110,   0.21
19261111,  -0.29
19261112,   0.47
19261113,   0.18
19261115,   0.35
19261116,   0.69
19261117,   0.87
19261118,   0.19
19261119,  -0.25
19261120,  -0.09
19261122,  -0.07
19261123,  -0.10
19261124,  -0.06
19261126,  -0.27
19261127,   0.83
19261129,   0.63
19261130,  -0.20
19261201,   0.35
19261202,   0.72
19261203,   0.74
19261204,   0.71
19261206,  -1.05
19261207,   0.30
19261208,   0.39
19261209,   0.18
19261210,   0.04
19261211,   0.20
19261213,  -0.10
19261214,   0.27
19261215,   0.72
19261216,   1.44
19261217,  -0.40
19261218,  -0.17
19261220,   0.45
19261221,   0.26
19261222,  -0.35
19261223,  -0.54
19261224,  -0.06
19261227,  -0.18
19261228,   0.40
19261229,   0.02
19261230,   0.59
19261231,   0.95
19270103,   0.76
19270104,   0.53
19270105,   0.37
19270106,   0.05
19270107,  -0.16
19270108,   0.08
19270110,   0.29
19270111,  -0.24
19270112,   0.30
19270113,   0.73
19270114,   0.30
19270115,  -0.24
19270117,   0.20
19270118,   0.43
19270119,   0.95
19270120,   0.32
19270121,  -0.45
19270122,  -0.30
19270124,  -0.57
19270125,   1.18
19270126,   0.63
19270127,   0.35
19270128,   0.15
19270129,   0.94
19270131,   0.32
19270201,  -0.36
19270202,   0.48
19270203,  -0.06
19270204,  -0.38
19270205,  -0.13
19270207,  -0.09
19270208,  -1.20
19270209,   0.67
19270210,   1.12
19270211,   0.12
19270214,   0.48
19270215,   0.35
19270216,   0.10
19270217,   0.12
19270218,   0.26
19270219,   0.34
19270221,   0.80
19270223,  -0.42
19270224,   0.59
19270225,   0.27
19270226,  -0.06
19270228,  -1.01
19270301,   0.44
19270302,   1.38
19270303,  -0.71
19270304,   0.14
19270305,  -0.11
19270307,   0.07
19270308,  -0.05
19270309,   0.09
19270310,   0.19
19270311,   0.28
19270312,  -0.21
19270314,  -0.81
19270315,  -0.05
19270316,  -0.33
19270317,  -0.23
19270318,  -0.14
19270319,  -0.28
19270321,  -0.17
19270322,   0.70
19270323,   0.26
19270324,   0.38
19270325,   0.05
19270326,  -0.02
19270328,  -0.76
19270329,  -0.39
19270330,  -0.52
19270331,   0.36
19270401,  -0.39
19270402,   0.20
19270404,  -0.20
19270405,   0.21
19270406,   0.35
19270407,   0.55
19270408,  -0.04
19270409,  -0.24
19270411,  -0.17
19270412,   0.72
19270413,  -0.01
19270414,   0.23
19270416,  -0.28
19270418,   0.34
19270419,   0.45
19270420,  -0.10
19270421,   0.02
19270422,  -0.14
19270423,   0.06
19270425,   0.99
19270426,   0.32
19270427,   0.09
19270428,   0.39
19270429,  -0.21
19270430,   0.24
19270502,  -0.09
19270503,   0.09
19270504,   0.26
19270505,   0.71
19270506,   0.77
19270507,  -0.03
19270509,  -0.26
19270510,   0.76
19270511,   0.83
19270512,   0.00
19270513,  -0.13
19270514,   0.35
19270516,   0.11
19270517,   0.33
19270518,  -0.40
19270519,   0.18
19270520,   0.69
19270521,   0.36
19270523,  -0.31
19270524,   0.28
19270525,  -0.19
19270526,   0.31
19270527,   0.12
19270528,   0.19
19270531,  -0.28
19270601,  -0.93
19270602,  -0.13
19270603,   0.43
19270604,  -0.48
19270606,  -0.90
19270607,   0.84
19270608,   1.09
19270609,   0.38
19270610,   0.20
19270611,   0.33
19270614,   1.05
19270615,  -0.10
19270616,  -0.07
19270617,   0.39
19270618,   0.48
19270620,  -0.04
19270621,   0.44
19270622,  -0.17
19270623,   0.52
19270624,  -0.34
19270625,  -0.07
19270627,   0.18
19270628,  -0.18
19270629,  -0.39
19270630,  -0.04
19270701,  -0.05
19270702,   0.58
19270705,  -0.17
19270706,   0.81
19270707,   0.38
19270708,  -0.18
19270709,   0.04
19270711,   0.01
19270712,   0.40
19270713,   0.46
19270714,   0.53
19270715,   0.43
19270716,   0.82
19270718,  -0.15
19270719,  -0.02
19270720,   0.08
19270721,   0.36
19270722,   0.27
19270723,   0.35
19270725,  -0.43
19270726,   0.48
19270727,   0.52
19270728,  -0.05
19270729,  -0.50
19270730,   0.78
19270801,   0.41
19270802,  -0.46
19270803,   0.85
19270804,  -0.10
19270805,   0.20
19270806,   0.74
19270808,   0.29
19270809,  -0.48
19270810,   0.11
19270811,   0.31
19270812,   0.05
19270813,   0.74
19270815,   0.43
19270816,   0.56
19270817,   0.40
19270818,   0.40
19270819,   0.07
19270820,   0.22
19270822,   0.03
19270823,   0.58
19270824,  -0.17
19270825,  -0.04
19270826,  -0.05
19270827,  -0.21
19270829,  -0.21
19270830,   0.18
19270831,   0.39
19270901,   0.18
19270902,  -0.16
19270903,  -0.16
19270906,  -0.55
19270907,   0.64
19270908,   0.95
19270909,   0.84
19270910,  -0.19
19270912,   0.66
19270913,  -0.48
19270914,  -0.29
19270915,  -0.06
19270916,   0.14
19270917,   0.15
19270919,   0.88
19270920,   0.51
19270921,   0.28
19270922,   0.58
19270923,  -0.39
19270924,   0.09
19270926,   0.55
19270927,  -0.52
19270928,   0.47
19270929,  -0.12
19270930,   0.00
19271001,  -0.02
19271003,   0.06
19271004,   0.60
19271005,   0.32
19271006,  -0.28
19271007,   0.00
19271008,  -0.49
19271010,  -0.45
19271011,  -0.14
19271013,  -0.09
19271014,   0.20
19271015,   0.23
19271017,   0.04
19271018,  -0.30
19271019,   0.71
19271020,  -0.01
19271021,   1.21
19271022,   0.04
19271024,   0.34
19271025,   0.37
19271026,   0.32
19271027,  -0.56
19271028,  -0.29
19271029,   0.22
19271031,   0.07
19271101,   0.68
19271102,  -0.07
19271103,  -0.29
19271104,  -0.04
19271105,   0.88
19271107,   0.87
19271109,  -0.19
19271110,   0.37
19271111,   0.62
19271112,   0.20
19271114,   0.28
19271115,   0.49
19271116,   1.02
19271117,  -0.03
19271118,  -0.47
19271119,   0.12
19271121,   0.31
19271122,   0.09
19271123,  -0.23
19271125,  -0.29
19271126,   0.09
19271128,   0.61
19271129,  -0.99
19271130,   0.28
19271201,   1.48
19271202,  -0.05
19271203,   0.22
19271205,  -0.64
19271206,  -0.09
19271207,   0.48
19271208,   0.16
19271209,  -0.69
19271210,   0.13
19271212,   0.25
19271213,   0.26
19271214,   0.56
19271215,  -0.21
19271216,  -0.21
19271217,   0.29
19271219,  -0.14
19271220,   0.17
19271221,   0.13
19271222,   0.41
19271223,   0.19
19271224,   0.02
19271227,  -0.11
19271228,   0.89
19271229,  -0.77
19271230,   0.68
19271231,   0.29
19280103,   0.28
19280104,   0.04
19280105,   1.10
19280106,  -0.08
19280107,   0.29
19280109,   0.56
19280110,   0.05
19280111,   0.32
19280112,   0.02
19280113,   0.05
19280114,   0.70
19280116,   0.23
19280117,   0.37
19280118,   0.26
19280119,   0.54
19280120,  -0.01
19280121,   0.05
19280123,  -0.37
19280124,   0.45
19280125,   0.61
19280126,  -0.66
19280127,  -0.15
19280128,   0.17
19280130,   0.12
19280131,   0.04
19280201,  -0.63
19280202,  -0.04
19280203,   0.89
19280204,  -0.21
19280206,  -0.77
19280207,  -0.12
19280208,  -0.39
19280209,   0.31
19280210,   0.31
19280211,   0.19
19280214,   0.25
19280215,   0.18
19280216,   0.65
19280217,   0.02
19280218,  -0.09
19280220,   0.10
19280221,   0.81
19280223,   0.66
19280224,   0.57
19280225,   0.43
19280227,  -0.11
19280228,   0.64
19280229,   0.06
19280301,   0.03
19280302,  -0.33
19280303,   0.09
19280305,   0.62
19280306,  -0.04
19280307,   0.45
19280308,  -0.18
19280309,  -0.36
19280310,   0.44
19280312,   0.08
19280313,   0.11
19280314,  -0.11
19280315,  -0.49
19280316,  -0.13
19280317,   0.65
19280319,   1.12
19280320,  -0.45
19280321,  -0.04
19280322,   1.14
19280323,  -0.49
19280324,  -0.30
19280326,  -1.22
19280327,   1.06
19280328,   1.03
19280329,   0.38
19280330,  -1.07
19280331,   1.27
19280402,   1.56
19280403,  -0.24
19280404,   0.12
19280405,  -0.96
19280409,  -0.47
19280410,   1.05
19280411,  -0.57
19280412,   0.83
19280413,  -0.74
19280414,   1.03
19280416,  -0.58
19280417,   0.61
19280418,   0.22
19280419,  -0.13
19280420,   0.65
19280423,  -0.69
19280424,   0.41
19280425,  -0.39
19280426,  -0.34
19280427,  -0.25
19280428,  -0.70
19280430,  -0.06
19280501,   0.91
19280502,   0.69
19280503,   0.85
19280504,  -0.09
19280507,  -0.47
19280508,   0.48
19280509,   0.51
19280510,   0.68
19280511,  -0.66
19280514,  -0.39
19280515,   0.07
19280516,   1.85
19280517,  -0.06
19280518,   0.66
19280521,   1.43
19280522,   0.41
19280523,  -0.69
19280524,  -0.11
19280525,   0.25
19280528,   0.62
19280529,  -0.24
19280531,   0.02
19280601,   0.28
19280602,  -0.57
19280604,   1.88
19280605,  -0.05
19280606,   0.78
19280607,  -0.09
19280608,   0.35
19280609,  -0.04
19280611,  -0.99
19280612,  -1.15
19280613,   3.90
19280614,   1.52
19280615,   0.47
19280616,  -0.11
19280618,  -0.06
19280619,  -0.65
19280620,   1.77
19280621,   1.24
19280622,   0.56
19280623,  -0.30
19280625,  -0.29
19280626,   0.93
19280627,   1.41
19280628,   0.88
19280629,   0.69
19280630,   0.34
19280702,   0.11
19280703,   1.35
19280705,   0.87
19280706,   0.28
19280707,   0.04
19280709,  -0.12
19280710,   0.11
19280711,   2.67
19280712,   0.62
19280713,   0.04
19280714,   0.22
19280716,   1.14
19280717,   0.01
19280718,  -0.02
19280719,   0.36
19280720,   0.26
19280721,   0.22
19280723,  -0.32
19280724,   0.79
19280725,   0.47
19280726,   0.41
19280727,   0.16
19280728,   0.31
19280730,   0.12
19280731,   0.11
19280801,   0.02
19280802,   0.25
19280803,  -0.06
19280804,   0.08
19280806,   0.16
19280807,   0.85
19280808,   1.52
19280809,   0.25
19280810,   0.28
19280811,   0.01
19280813,   0.07
19280814,  -0.30
19280815,   0.42
19280816,   0.43
19280817,   0.12
19280818,   0.18
19280820,  -0.76
19280821,   0.06
19280822,   0.99
19280823,   0.68
19280824,   0.68
19280825,   0.35
19280827,   0.94
19280828,  -0.39
19280829,   0.17
19280830,   0.17
19280831,  -0.56
19280901,   0.42
19280904,   0.89
19280905,   0.78
19280906,   0.95
19280907,  -0.05
19280908,   0.82
19280910,   0.81
19280911,  -0.57
19280912,   0.44
19280913,   0.26
19280914,   0.46
19280915,  -0.04
19280917,  -0.09
19280918,   0.79
19280919,   0.15
19280920,  -0.11
19280921,  -0.88
19280922,   0.24
19280924,  -0.62
19280925,   0.32
19280926,   1.15
19280927,   1.67
19280928,   0.12
19280929,  -0.59
19281001,   0.00
19281002,   0.34
19281003,  -0.14
19281004,  -0.66
19281005,  -0.04
19281006,   0.11
19281008,   0.87
19281009,  -0.22
19281010,   1.23
19281011,   0.32
19281013,  -0.20
19281015,   0.33
19281016,   1.08
19281017,   0.54
19281018,  -0.17
19281019,   0.17
19281020,   0.74
19281022,  -0.01
19281023,  -0.35
19281024,   0.40
19281025,   0.20
19281026,   0.97
19281027,  -0.60
19281029,   0.04
19281030,   0.82
19281031,   0.32
19281101,  -0.22
19281102,   0.74
19281103,   0.30
19281105,  -0.09
19281107,  -0.74
19281108,   0.39
19281109,  -0.05
19281110,  -0.88
19281112,   0.39
19281113,   0.15
19281114,  -0.39
19281115,   1.00
19281116,  -0.61
19281117,   0.08
19281119,   0.04
19281120,  -0.33
19281121,   1.25
19281122,  -0.89
19281123,   0.44
19281126,  -0.11
19281127,   0.90
19281128,  -1.21
19281130,  -0.72
19281201,   0.91
19281203,   1.08
19281204,   0.35
19281205,   0.49
19281206,   1.80
19281207,  -0.15
19281208,   0.07
19281210,   0.02
19281211,   0.37
19281212,  -0.07
19281213,  -0.19
19281214,  -0.47
19281215,   0.19
19281217,  -0.37
19281218,   0.46
19281219,   0.89
19281220,   0.99
19281221,   0.59
19281222,   0.29
19281224,   0.95
19281226,  -0.70
19281227,   0.03
19281228,  -0.57
19281229,   0.20
19281231,   0.85
19290102,   1.10
19290103,   1.47
19290104,   0.35
19290105,   1.24
19290107,   1.34
19290108,  -0.47
19290109,   0.17
19290110,  -0.04
19290111,   0.46
19290112,   0.08
19290114,  -0.29
19290115,   1.22
19290116,  -0.03
19290117,  -0.70
19290118,   0.23
19290119,   0.24
19290121,   0.31
19290122,  -0.69
19290123,   0.21
19290124,   0.61
19290125,  -0.84
19290126,  -0.61
19290128,  -0.49
19290129,  -0.23
19290130,  -0.56
19290131,   0.10
19290201,   0.10
19290202,  -0.13
19290204,   0.24
19290205,   0.47
19290206,   0.76
19290207,   1.45
19290208,   0.22
19290211,  -0.04
19290213,   0.84
19290214,   0.23
19290215,   0.43
19290216,   0.21
19290218,   0.25
19290219,   0.40
19290220,   0.34
19290221,   0.48
19290225,  -0.11
19290226,   0.54
19290227,   0.13
19290228,   0.34
19290301,   0.20
19290302,   0.77
19290304,   0.02
19290305,   0.39
19290306,   0.67
19290307,  -0.02
19290308,  -0.43
19290309,   0.56
19290311,   0.67
19290312,  -0.13
19290313,   0.03
19290314,  -0.09
19290315,  -0.29
19290316,  -0.57
19290318,   0.25
19290319,   0.31
19290320,  -1.00
19290321,   0.34
19290322,   0.65
19290323,   0.60
19290325,   0.19
19290326,  -1.32
19290327,   2.23
19290328,   0.77
19290401,   0.10
19290402,  -0.58
19290403,   1.05
19290404,   0.72
19290405,   0.65
19290406,   0.25
19290408,   0.13
19290409,  -0.72
19290410,   0.44
19290411,   0.79
19290412,   0.98
19290413,  -0.29
19290415,  -0.24
19290416,  -0.13
19290417,  -0.01
19290418,   0.54
19290419,  -0.19
19290420,  -0.33
19290422,  -0.16
19290423,   0.28
19290424,   0.48
19290425,   1.60
19290426,   0.23
19290427,   0.11
19290429,   0.14
19290430,   0.71
19290501,  -0.08
19290502,  -0.50
19290503,  -0.26
19290504,   0.64
19290506,   0.58
19290507,   0.90
19290508,  -0.08
19290509,   0.73
19290510,  -0.04
19290511,   0.31
19290513,   0.76
19290514,  -0.19
19290515,   0.13
19290516,   0.25
19290517,   0.10
19290518,   0.39
19290520,   1.12
19290521,  -0.39
19290522,   0.32
19290523,   0.93
19290524,  -0.57
19290525,   0.09
19290527,  -1.91
19290528,   1.08
19290529,  -0.76
19290531,  -0.42
19290601,  -0.03
19290603,   2.04
19290604,   2.54
19290605,   0.73
19290606,   0.01
19290607,   0.43
19290608,  -0.27
19290610,   0.02
19290611,  -0.04
19290612,   0.21
19290613,   0.16
19290614,   0.94
19290615,   0.23
19290617,   1.20
19290618,   0.07
19290619,   0.50
19290620,  -0.12
19290621,   0.05
19290622,  -0.12
19290624,   1.22
19290625,  -0.57
19290626,  -0.07
19290627,   0.09
19290628,  -0.81
19290629,  -0.20
19290701,   0.43
19290702,   0.33
19290703,   0.41
19290705,  -0.08
19290706,   0.16
19290708,   0.16
