This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Europe.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199011  ,-2.90  ,-2.02  ,-1.92  ,-1.56   ,1.20   ,0.98
199012  ,-2.32   ,0.39   ,0.41   ,0.11  ,-1.21  ,-1.54
199101  ,-1.60  ,-2.53  ,-2.17   ,4.14   ,2.95   ,0.88
199102  ,15.82   ,7.79   ,6.86  ,11.47   ,7.51   ,4.90
199103  ,-2.65  ,-4.92  ,-4.54  ,-6.29  ,-7.27  ,-5.92
199104  ,-1.92  ,-0.93   ,0.81  ,-0.07  ,-0.43  ,-0.02
199105  ,-2.36  ,-1.61  ,-1.22   ,2.81   ,2.06  ,-0.22
199106  ,-7.24  ,-6.28  ,-6.03  ,-6.43  ,-7.86  ,-6.77
199107   ,0.96   ,3.44   ,5.86   ,2.48   ,5.18   ,9.40
199108   ,0.63   ,1.00   ,3.93   ,1.55   ,2.41   ,1.72
199109   ,3.15   ,5.35   ,9.40   ,1.77   ,3.30   ,4.05
199110  ,-4.83  ,-2.82   ,0.12  ,-2.94  ,-2.31  ,-1.72
199111  ,-1.85  ,-0.53  ,-0.51  ,-1.50  ,-1.75  ,-2.11
199112   ,2.65   ,3.22   ,3.01   ,4.63   ,7.45   ,7.36
199201  ,-0.66  ,-0.99  ,-0.71  ,-0.38   ,0.25   ,0.93
199202  ,-0.87  ,-0.47   ,0.46  ,-1.09  ,-0.02   ,1.37
199203  ,-3.58  ,-1.71  ,-2.44  ,-2.87  ,-3.29  ,-3.09
199204   ,2.51   ,3.07   ,7.19   ,6.15   ,5.10   ,5.48
199205   ,4.28   ,5.14   ,7.58   ,5.64   ,5.87   ,4.77
199206  ,-3.09   ,1.08  ,-0.12  ,-4.55   ,0.10  ,-0.28
199207  ,-6.55  ,-4.07  ,-5.77  ,-6.94  ,-3.02  ,-3.51
199208  ,-3.82  ,-0.52  ,-0.04  ,-2.34  ,-0.61   ,1.65
199209  ,-8.86  ,-4.32  ,-4.53  ,-5.51  ,-1.88  ,-0.80
199210  ,-6.86  ,-9.86 ,-10.15  ,-4.40  ,-7.88  ,-7.85
199211  ,-2.58  ,-2.73  ,-1.55   ,0.89   ,0.19  ,-0.67
199212   ,1.38   ,1.64   ,1.83  ,-0.09   ,1.27   ,2.42
199301   ,4.65   ,3.26   ,5.56   ,3.23  ,-0.17   ,0.17
199302   ,1.17  ,-0.03   ,0.55   ,1.86   ,2.48   ,0.19
199303   ,6.24   ,6.59   ,8.88   ,4.84   ,4.28   ,8.07
199304   ,7.36   ,4.41   ,6.32   ,3.67   ,2.01   ,0.48
199305   ,1.40   ,0.59   ,1.36   ,0.20   ,0.50   ,2.46
199306  ,-5.43  ,-4.47  ,-3.42  ,-2.99  ,-3.29  ,-1.66
199307   ,1.48  ,-0.81   ,1.60   ,1.03   ,1.31   ,1.45
199308  ,10.03   ,8.65   ,8.98   ,9.04   ,9.37   ,7.56
199309  ,-0.06   ,1.55   ,1.40  ,-1.87  ,-0.32   ,0.35
199310  ,-0.84   ,1.31   ,1.98   ,2.05   ,3.55   ,2.79
199311  ,-1.62  ,-0.97  ,-1.51  ,-1.53  ,-1.97  ,-2.78
199312   ,5.38   ,5.27   ,6.61   ,7.42   ,7.18   ,8.08
199401  ,11.04  ,10.47  ,13.52   ,6.26   ,4.20   ,8.32
199402   ,1.22   ,0.48   ,0.84  ,-2.63  ,-3.96  ,-4.45
199403   ,0.08  ,-0.48  ,-3.69  ,-1.70  ,-3.03  ,-2.20
199404   ,3.43   ,3.93   ,4.05   ,4.06   ,4.56   ,3.84
199405  ,-2.27  ,-1.97  ,-2.24  ,-4.05  ,-3.51  ,-4.64
199406  ,-0.76  ,-1.08  ,-1.50  ,-0.37  ,-0.72  ,-1.66
199407   ,1.59   ,1.94   ,3.16   ,5.39   ,5.46   ,4.59
199408   ,1.22   ,1.58   ,1.48   ,2.77   ,2.53   ,1.54
199409  ,-1.65  ,-0.62  ,-0.15  ,-4.24  ,-3.36  ,-2.99
199410   ,1.37   ,1.07   ,1.23   ,4.20   ,4.13   ,4.85
199411  ,-3.77  ,-4.56  ,-3.92  ,-3.09  ,-4.52  ,-5.04
199412   ,0.24   ,1.14   ,1.28  ,-0.06   ,0.66   ,0.61
199501  ,-0.56   ,0.21   ,1.28  ,-2.65  ,-0.70  ,-0.07
199502   ,0.59   ,1.26   ,2.62   ,1.70   ,2.61   ,2.90
199503   ,0.70   ,2.66   ,3.67   ,5.14   ,4.82   ,2.19
199504   ,1.40   ,1.09   ,1.85   ,4.17   ,2.41   ,3.72
199505   ,2.93   ,2.19   ,1.55   ,2.12   ,2.36   ,2.38
199506   ,0.78   ,1.42   ,4.25  ,-0.93   ,1.21   ,3.05
199507   ,2.23   ,2.83   ,4.24   ,4.79   ,4.32   ,4.90
199508  ,-3.33  ,-3.20  ,-0.73  ,-4.24  ,-4.18  ,-2.43
199509  ,-0.40   ,2.90   ,5.09  ,-0.54   ,2.45   ,5.46
199510  ,-3.28  ,-0.71   ,1.15  ,-3.06  ,-0.30   ,1.02
199511  ,-3.71  ,-1.68  ,-1.27  ,-1.06  ,-0.11   ,1.37
199512   ,1.54   ,1.24   ,1.91   ,2.42   ,3.56   ,1.83
199601   ,0.79  ,-0.03   ,2.14   ,2.61   ,0.80  ,-0.39
199602   ,2.78   ,3.45   ,5.15   ,1.93   ,1.42   ,3.13
199603   ,0.38   ,2.29   ,2.89   ,0.02   ,0.82   ,2.89
199604   ,0.11   ,1.73   ,2.75   ,1.63   ,0.88   ,1.09
199605   ,2.17   ,2.58   ,5.73   ,1.03   ,2.15   ,1.62
199606  ,-0.73   ,1.35   ,0.91   ,0.14   ,0.54   ,1.31
199607  ,-0.78  ,-1.42  ,-2.34  ,-0.06  ,-1.28  ,-2.35
199608   ,0.63   ,1.65   ,3.83   ,1.18   ,3.27   ,3.39
199609  ,-2.48  ,-0.41   ,1.32   ,1.43   ,1.29   ,2.49
199610   ,0.66   ,3.18   ,4.99   ,0.52   ,2.33   ,3.05
199611   ,1.24   ,3.25   ,3.33   ,4.18   ,4.87   ,4.97
199612   ,1.74   ,2.31   ,3.41   ,1.15   ,3.17   ,2.69
199701   ,0.92   ,0.64   ,2.38   ,1.21  ,-1.34   ,0.85
199702   ,0.45   ,1.59   ,2.91   ,1.22   ,2.15  ,-0.72
199703   ,1.92   ,1.38   ,1.44   ,3.13   ,2.94   ,1.75
199704  ,-2.56  ,-1.71  ,-1.59  ,-1.30  ,-1.25   ,1.83
199705   ,2.85   ,3.63   ,4.17   ,2.79   ,4.14   ,5.78
199706   ,0.51   ,1.51   ,1.09   ,3.81   ,4.19   ,5.28
199707  ,-1.50  ,-1.31  ,-1.04   ,1.54   ,3.71   ,5.84
