This file was created by CMPT_IND_RETS using the 201507 CRSP database.
It contains value- and equal-weighted returns for 10 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
193103,  -2.40,  -3.97,  -7.19, -14.54,  -8.50,  -4.74,  -3.60,   1.26,  -3.15,  -9.93
193104,  -5.54,  -8.01, -14.49, -13.66, -13.12,  -4.25,  -5.40,  -3.69,  -9.24, -10.11
193105, -11.43, -17.54, -16.71, -13.49, -12.97,  -8.94,  -3.46, -11.24, -11.57, -18.01
193106,   9.98,  14.50,  16.65,  17.25,  17.63,   8.82,   7.42,   9.07,  10.71,  15.34
193107,  -4.09,  -2.26, -10.60,  -3.75, -10.47,  -4.88,  -1.79,   2.55,  -5.59, -10.43
193108,  -1.01,  -4.32,  -0.56,   8.43,   3.65,   0.82,   2.57,  -0.61,  -2.18,  -4.19
193109, -25.49, -34.96, -30.26, -30.04, -34.35, -22.89, -30.58, -29.99, -33.34, -26.99
193110,   6.53,  12.80,   5.75,  13.87,  10.61,   4.34,  13.58,  11.18,  10.16,   1.43
193111,  -4.79,  -5.68,  -8.77,  -9.73, -14.23,  -6.86, -11.18,  -4.09,  -5.34, -19.69
193112, -10.58,  -8.97, -16.10, -19.18, -14.85,  -9.69, -15.65,  -4.80, -13.66, -17.57
193201,   1.72,  -7.04,  -0.95,  -4.96, -11.54,  -4.04,   0.36,  -2.74,  -2.72,   6.44
193202,   4.58,   0.32,   5.35,   7.32,   6.19,  11.63,   3.48,   0.59,   6.14,  -0.66
193203,  -7.05, -22.33, -14.78,  -1.33, -15.48, -11.69,  -9.81,  -7.16, -10.04, -16.67
193204, -11.69, -29.90, -23.40, -14.06, -24.23, -12.40, -16.62, -19.86, -15.72, -22.40
193205, -21.83, -20.20, -18.76,  -7.15, -28.75, -10.81, -29.62, -36.03, -27.72, -30.56
193206,  -0.42,  -8.17,  -3.16,   5.62,   5.61, -12.09,  -1.48,   9.54,   0.66,  -3.60
193207,  24.29,  44.82,  41.13,  35.04,  44.20,  16.70,  26.81,  29.02,  29.09,  55.70
193208,  22.18,  43.78,  46.04,  18.21,  45.51,  28.17,  32.10,  33.71,  42.55,  58.48
193209,  -1.86,   8.33,  -2.70, -10.31,  -6.11,  -1.69,   2.52, -12.39,  -5.02,  -4.69
193210, -11.67, -24.81, -16.19,  -3.85, -19.04,  -8.13, -12.80, -18.66, -10.97, -18.03
193211,  -7.59,  -3.99, -10.57,  -5.59,  -8.30,  -1.12,  -6.45,   3.26,  -4.36,  -7.23
193212,   2.53,   4.29,   2.91,  -0.13,   4.66,   1.51,   4.43,   6.25,   8.67,   4.09
193301,   4.34,   0.37,   3.00,  -3.11,   0.88,   0.30,  -2.53,  -1.25,  -4.53,   8.49
193302,  -9.67, -25.73, -17.61, -14.73, -20.15,  -7.77, -18.78, -12.42, -20.61, -16.93
193303,   9.18,   9.14,  10.75,   4.23,   5.53,  -8.13,   7.99,  -3.78, -13.27,   3.12
193304,  33.98,  79.79,  56.77,  38.91,  53.36,  13.22,  41.64,  37.02,  25.14,  30.68
193305,  12.29,  25.19,  25.86,  17.06,  19.78,  17.37,  17.00,  22.13,  18.47,  31.29
193306,   9.62,  20.72,  12.24,  12.40,  10.39,   8.63,  15.97,  10.03,  15.23,  14.05
193307,  -6.73,  -7.09, -11.57, -12.09, -11.10,  -4.37, -13.54, -19.17, -13.71,  -6.69
193308,   9.50,  20.02,  16.18,  18.93,  12.89,   4.53,   6.68,  -1.62,  -1.93,  14.49
193309,  -8.17, -15.35, -10.24,  -2.77, -17.53,  -5.29,  -9.09,  -1.71, -20.08, -16.73
193310,  -9.30, -10.10,  -8.35,  -4.90,  -9.77,  -7.19,  -7.92,  -6.09,  -7.66, -10.88
193311,   4.85,  23.85,  12.38,  13.86,  12.82,   5.63,  13.88,   7.95,  -3.56,   5.05
193312,  -4.16,  10.41,   4.45,  -1.37,   1.02,  -5.60,   4.20, -12.05,   0.85,   4.28
193401,   9.72,  13.13,  10.84,   8.66,  16.08,   5.96,  17.02,  16.70,  20.35,  18.37
193402,  -5.38,  -2.56,  -3.28,  -3.76,  -6.34,   2.12,   2.59,  -4.90,  -2.67,  -2.35
193403,   0.28,  -0.33,  -1.40,  -1.60,   2.66,  -0.54,   2.10,  -0.96,  -2.02,   0.58
193404,   2.95,  -6.90,  -2.97,  -2.07,  -2.33,  -1.25,  -1.60,   7.93,  -3.90,  -1.75
193405,  -3.34, -13.41, -10.29,  -5.15,  -6.65,  -4.30,  -7.98,  -1.66,  -8.65,  -7.52
193406,   3.01,  -2.78,   4.07,   1.19,   2.19,  -0.61,   2.10,   1.73,   4.01,   2.66
193407,  -5.26, -13.91, -11.83,  -9.78, -11.89,  -4.35,  -8.43,  -1.95, -17.38, -17.77
193408,   3.72,   8.80,   7.13,   5.58,   6.54,   2.56,   4.24,  -4.22,   0.86,   4.14
193409,  -0.40,   0.64,  -1.31,  -2.55,  -0.95,   0.04,   2.21,   0.47,   1.32,  -0.69
193410,   0.35,  -2.19,  -0.73,  -4.75,  -0.93,  -1.69,   1.58,  -0.77,  -7.78,  -2.29
193411,   8.13,  16.88,  12.28,   6.26,  13.34,  -1.73,   9.13,   2.84,  -1.50,   5.34
193412,  -1.81,   3.50,   1.95,   0.56,   2.93,  -2.64,  -1.65,   0.30,  -9.05,  -0.73
193501,  -1.65,  -9.12,  -2.68,  -4.46,   0.85,  -0.46,  -5.34,  -0.92,  -3.37,  -6.94
193502,   1.12,  -3.85,  -1.99,  -4.09,   0.18,   1.04,  -1.07,   3.05, -13.29,  -5.26
193503,  -5.27,  -5.92,  -5.03,  -3.90,  -4.69,  -2.82,  -4.88,  -3.45,  11.82,  -5.89
193504,   5.48,   5.63,   8.69,  15.41,  10.24,   9.13,   6.36,   3.12,  10.95,   8.65
193505,   0.71,   2.22,   1.62,   2.94,   2.58,   8.38,   2.08,  -5.20,  12.75,   3.56
193506,   4.85,   9.74,   6.28,   1.39,   7.11,   3.53,   5.92,   3.76,   8.75,   5.75
193507,   2.94,  18.99,  10.53,   0.06,   9.53,   5.74,   7.43,   3.13,   9.10,   7.00
193508,  -1.86,   7.59,   2.95,  -2.25,   3.17,   4.07,   2.70,  -0.87,   6.46,   3.21
193509,   1.00,  11.03,   4.01,  -3.52,   7.18,   2.68,  -0.87,   0.88,  -2.33,   0.16
193510,   4.29,  13.53,   5.65,  13.34,   8.64,   3.11,   1.15,   5.91,  13.89,   2.31
193511,   0.78,   2.10,   4.18,   2.12,   5.75,   9.72,   2.24,   0.64,   0.21,  12.77
193512,   1.43,   5.69,   3.39,  13.94,   2.99,  -1.60,  -1.54,   2.14,   5.30,   3.88
193601,   3.05,   3.80,   5.39,  13.95,   6.49,   4.16,  -2.89,   3.40,  12.44,  11.59
193602,   0.20,   3.03,   5.36,   0.98,   0.22,   6.57,   0.44,   2.42,  -7.10,   2.51
193603,  -2.62,  10.11,   2.22,   1.64,  -0.53,  -4.55,   0.76,   3.33,   0.40,  -3.23
193604,  -4.65, -10.18,  -9.10, -10.41,  -8.73,  -5.74,  -5.34,  -9.24,  -8.56,  -7.49
193605,   4.65,   2.47,   5.87,  -1.22,   5.18,   6.46,   6.13,   3.73,   8.98,   7.15
193606,   1.69,   6.75,   1.05,   1.67,   0.78,   1.11,   4.90,   1.09,   3.30,   1.40
193607,   2.73,   4.84,   7.49,   4.64,  11.91,   2.44,   6.07,   4.63,  11.50,   9.31
193608,   0.50,  -1.91,   1.37,  -1.14,   2.33,   1.76,   2.00,  -2.02,  -1.62,   1.63
193609,  -1.27,   3.16,   1.73,   1.29,  -1.71,  -0.94,   2.49,   0.26,  -2.26,   0.57
193610,   3.16,   4.99,   7.55,  12.26,   5.51,   5.08,  11.10,   3.74,   5.54,   8.00
193611,   3.58,  -3.40,   4.77,   0.13,   4.66,   3.87,  10.07,   2.72,  -3.58,  -0.19
193612,  -2.29,  -7.54,   1.44,   9.15,   2.22,  -1.60,  -9.77,  -3.79,  -1.99,  -1.87
193701,   2.18,   7.25,   4.44,   2.33,   8.61,  -0.85,  -0.29,   3.44,   2.48,   0.76
193702,   0.47,  -0.92,   2.48,   1.07,  -1.44,  -3.06,   2.55,  -4.25,  -4.78,   4.56
193703,  -1.54,  -4.26,   1.08,   3.37,  -5.01,  -3.35,  -3.06,  -5.55,  -6.58,   2.37
193704,  -6.58,  -7.94,  -9.32,  -5.38,  -7.65,  -5.25,  -7.57,  -3.35,  -7.70,  -6.89
193705,  -0.86,  -3.32,   0.63,  -1.09,   0.68,   1.53,  -4.88,   0.70,  -5.97,  -3.61
193706,  -3.84, -10.90,  -3.99,  -2.78,  -2.10,   0.03,  -1.95,  -4.69,  -5.65,  -9.47
193707,   4.88,  13.17,   9.04,   8.19,   9.50,   3.27,  10.15,   4.09,  19.16,   8.43
