This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199011  ,-6.21  ,-3.36  ,-4.87  ,-5.07  ,-2.18  ,-0.15
199012  ,-3.57  ,-1.44  ,-3.29  ,-3.85  ,-1.02   ,1.87
199101   ,2.81   ,3.82   ,3.64   ,5.22   ,6.78   ,6.51
199102  ,13.57   ,9.95  ,11.00  ,11.14   ,9.19   ,7.67
199103  ,-0.38   ,0.23   ,3.11   ,0.45   ,2.29   ,3.11
199104  ,-0.73   ,4.09   ,2.12   ,4.28   ,4.95   ,1.19
199105  ,-2.65  ,-0.12   ,1.17  ,-3.81  ,-0.90   ,1.47
199106  ,-0.38   ,0.99   ,0.07  ,-1.24  ,-0.54  ,-0.29
199107   ,6.73   ,4.25   ,5.19   ,6.72   ,4.91   ,8.00
199108  ,-2.39  ,-2.07   ,0.72  ,-3.26  ,-1.28  ,-0.74
199109   ,0.58   ,1.15   ,4.91   ,1.09   ,1.35   ,0.77
199110   ,5.05   ,2.61   ,6.71   ,5.64   ,4.97   ,3.01
199111   ,2.98   ,1.90   ,1.08   ,1.54  ,-1.21  ,-0.58
199112  ,-1.88  ,-0.29   ,2.23   ,0.93   ,1.54   ,2.65
199201   ,0.47   ,1.16   ,1.75   ,1.22   ,1.17   ,1.79
199202   ,2.57   ,1.63   ,3.70  ,-0.89   ,2.11   ,3.56
199203   ,0.09   ,1.01  ,-0.15  ,-0.06  ,-0.95   ,2.30
199204   ,1.46   ,3.22   ,1.98   ,5.44   ,5.14   ,7.52
199205   ,6.68   ,7.56   ,5.85   ,2.02   ,7.99  ,11.57
199206  ,-1.58  ,-0.32  ,-0.80  ,-1.78  ,-2.81   ,1.45
199207  ,-3.41  ,-2.05   ,0.07  ,-3.42  ,-3.40  ,-5.20
199208  ,-7.98  ,-5.49  ,-3.62  ,-8.89  ,-5.82  ,-4.33
199209  ,-1.63  ,-1.27  ,-2.58  ,-4.71  ,-2.37  ,-0.93
199210   ,0.40   ,1.52   ,2.32  ,-5.44   ,2.45  ,10.19
199211  ,-0.34  ,-0.50   ,1.23   ,1.64  ,-1.74  ,-4.15
199212   ,0.25   ,1.38  ,-0.12   ,9.15   ,0.54  ,-4.61
199301   ,2.44   ,2.26   ,1.50  ,-2.45   ,1.55   ,3.14
199302   ,8.88   ,7.91   ,7.34   ,6.62   ,9.35   ,7.46
199303   ,6.89   ,5.05   ,7.34   ,3.90   ,1.43   ,2.48
199304   ,8.65   ,9.51  ,11.09   ,3.22   ,5.61   ,6.78
199305   ,5.00   ,8.76  ,10.08   ,1.50   ,5.76   ,6.18
199306   ,0.77   ,1.45   ,0.41  ,-2.52  ,-3.77  ,-2.50
199307  ,-0.53   ,1.87   ,5.72   ,4.12   ,1.51   ,4.06
199308   ,5.79   ,6.91   ,4.48   ,6.46   ,7.92   ,4.90
199309  ,-0.79  ,-1.29  ,-3.50   ,0.47   ,0.76  ,-1.21
199310  ,10.80  ,11.30  ,12.60  ,14.56  ,17.49  ,15.66
199311   ,1.00  ,-0.84   ,1.25  ,-1.30  ,-2.77  ,-3.45
199312  ,12.08  ,16.73  ,17.40  ,18.39  ,22.70  ,19.29
199401   ,3.64   ,3.93   ,6.55   ,6.58   ,0.26  ,-2.42
199402  ,-2.45  ,-1.99   ,0.13  ,-4.02  ,-6.16  ,-9.85
199403  ,-8.54  ,-9.04 ,-10.31  ,-7.90 ,-10.16 ,-10.77
199404  ,-0.78   ,1.77   ,1.69   ,2.22   ,4.91  ,-0.63
199405   ,0.49   ,0.89   ,1.21   ,4.58   ,4.19   ,6.24
199406  ,-5.99  ,-4.00  ,-3.08  ,-5.81  ,-6.53  ,-5.94
199407  ,-0.19   ,1.53   ,3.01   ,5.29   ,5.75   ,5.81
199408  ,-0.42   ,2.39   ,3.13   ,3.74   ,5.09   ,4.85
199409  ,-1.15  ,-1.67  ,-0.29  ,-3.36  ,-2.83  ,-1.18
199410  ,-1.73  ,-1.04  ,-1.24   ,1.55   ,2.04   ,1.71
199411  ,-8.34  ,-5.26  ,-6.33  ,-6.95  ,-8.90  ,-7.96
199412  ,-3.97  ,-1.40  ,-1.56  ,-0.99  ,-0.96   ,0.09
199501 ,-11.28  ,-7.11  ,-6.43  ,-8.86  ,-6.29  ,-6.61
199502   ,2.77   ,0.70  ,-0.33  ,13.69   ,5.29   ,1.96
199503  ,-2.38  ,-0.73  ,-0.11   ,2.44   ,0.73   ,0.36
199504  ,-0.29   ,1.12   ,2.95  ,-0.29   ,0.65   ,3.99
199505   ,1.67  ,-0.04   ,1.92   ,5.29   ,5.38   ,4.45
199506   ,0.81  ,-0.78   ,0.30  ,-1.76  ,-2.44  ,-1.73
199507   ,8.02   ,6.20   ,7.82   ,3.78   ,7.24   ,3.44
199508   ,2.56   ,4.65   ,2.18  ,-2.10  ,-0.89  ,-2.23
199509   ,1.09   ,1.03   ,3.59   ,1.49   ,2.91   ,1.88
199510  ,-2.22  ,-1.31  ,-3.96   ,0.99  ,-0.08  ,-0.56
199511  ,-1.08   ,0.58   ,4.46   ,0.17   ,0.49   ,2.95
199512  ,-0.11   ,2.35   ,1.30   ,4.82   ,3.14   ,3.19
199601   ,8.79   ,7.30   ,7.06   ,6.76   ,7.89  ,10.41
199602   ,2.11   ,2.91   ,3.13   ,1.41   ,1.37  ,-0.94
199603  ,-1.24   ,0.10  ,-0.02  ,-1.87  ,-0.62   ,0.57
199604   ,1.74   ,1.40   ,4.13   ,1.20   ,2.97   ,0.93
199605   ,0.25   ,1.59   ,3.85  ,-1.10   ,1.20   ,2.97
199606  ,-0.94  ,-0.69  ,-1.75  ,-1.78  ,-2.13  ,-0.81
199607  ,-4.23  ,-2.75  ,-7.04  ,-6.88  ,-4.17  ,-5.29
199608   ,1.14   ,3.70   ,7.21   ,2.99   ,4.55   ,4.66
199609   ,0.22   ,2.21   ,3.59   ,1.29   ,2.96   ,3.96
199610   ,2.33   ,3.00   ,6.87   ,0.76   ,3.52   ,1.70
199611   ,6.87   ,6.38   ,7.58   ,4.38   ,7.08   ,8.81
199612   ,0.33  ,-0.36   ,0.71   ,0.18  ,-0.29  ,-0.28
199701   ,1.52  ,-1.50  ,-0.62  ,-0.38  ,-1.83  ,-3.56
199702   ,4.43   ,3.28   ,6.35   ,0.69   ,0.43   ,2.07
199703  ,-4.34  ,-1.20  ,-0.54  ,-6.40  ,-2.55  ,-5.66
199704  ,-2.56   ,0.16   ,1.21  ,-2.81  ,-0.09   ,4.33
199705   ,2.37   ,4.67   ,5.55   ,4.01   ,9.96   ,7.22
199706  ,-3.31   ,0.71   ,0.06   ,1.52   ,3.72   ,4.03
199707   ,1.00   ,4.39   ,6.80  ,-1.23   ,0.10   ,6.35
